Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; With a mortgage:,Margin of Error; With a mortgage:,Estimate; With a mortgage: - Less than 2.0,Margin of Error; With a mortgage: - Less than 2.0,Estimate; With a mortgage: - 2.0 to 2.9,Margin of Error; With a mortgage: - 2.0 to 2.9,Estimate; With a mortgage: - 3.0 to 3.9,Margin of Error; With a mortgage: - 3.0 to 3.9,Estimate; With a mortgage: - 4.0 or more,Margin of Error; With a mortgage: - 4.0 or more,Estimate; With a mortgage: - Not computed,Margin of Error; With a mortgage: - Not computed,Estimate; Not mortgaged:,Margin of Error; Not mortgaged:,Estimate; Not mortgaged: - Less than 2.0,Margin of Error; Not mortgaged: - Less than 2.0,Estimate; Not mortgaged: - 2.0 to 2.9,Margin of Error; Not mortgaged: - 2.0 to 2.9,Estimate; Not mortgaged: - 3.0 to 3.9,Margin of Error; Not mortgaged: - 3.0 to 3.9,Estimate; Not mortgaged: - 4.0 or more,Margin of Error; Not mortgaged: - 4.0 or more,Estimate; Not mortgaged: - Not computed,Margin of Error; Not mortgaged: - Not computed
0500000US06097,6097,"Sonoma County, California",2006,114133,3091,83329,3106,2759,780,2863,844,6543,997,70978,3236,186,254,30804,2310,2974,669,1461,498,2141,635,24145,2301,83,146
0500000US06099,6099,"Stanislaus County, California",2006,102731,3409,79838,3013,3121,885,7279,1214,10242,1515,58779,3011,417,279,22893,1962,2790,650,1713,569,1665,514,16652,1724,73,102
0500000US06101,6101,"Sutter County, California",2006,19526,1348,15127,1457,706,310,1858,602,3053,776,9510,1197,0,289,4399,690,601,313,484,261,411,252,2825,566,78,96
0500000US06107,6107,"Tulare County, California",2006,72770,2612,53815,2349,5961,1199,9223,1378,9176,1186,29008,2063,447,406,18955,1542,4148,762,1794,491,3010,598,9767,1079,236,222
0500000US06111,6111,"Ventura County, California",2006,177961,3791,142963,3752,4449,880,7022,1418,10682,1758,120466,3667,344,259,34998,2585,3037,888,1995,633,1996,552,27723,2483,247,325
0500000US06113,6113,"Yolo County, California",2006,36338,1546,27712,1639,1274,484,2354,697,3406,825,20566,1660,112,136,8626,1030,1372,444,370,260,638,318,6144,876,102,124
0500000US06115,6115,"Yuba County, California",2006,13381,1162,9293,1214,409,246,1450,541,1646,586,5722,1127,66,110,4088,634,330,228,199,158,340,250,2935,574,284,313
0500000US06001,6001,"Alameda County, California",2007,298409,5528,231047,5330,8654,1300,13466,1997,25990,2248,181932,5347,1005,536,67362,3400,5268,1021,3848,894,3365,847,54231,2951,650,381
0500000US06007,6007,"Butte County, California",2007,50554,2046,32463,2187,2800,756,4670,952,4955,1083,19979,1812,59,95,18091,1675,3390,919,1143,410,1706,536,11553,1318,299,330
0500000US06013,6013,"Contra Costa County, California",2007,260823,4027,207504,4425,7192,1345,13215,1639,22480,2399,163759,4804,858,491,53319,2633,4621,1065,2738,708,2985,715,42018,2164,957,480
0500000US06017,6017,"El Dorado County, California",2007,48954,1913,38957,2089,1161,919,2972,961,5121,1043,29622,2147,81,125,9997,1056,960,508,946,363,930,359,6988,835,173,297
0500000US06019,6019,"Fresno County, California",2007,157007,3883,115802,4008,8859,1450,19407,1995,23118,2228,63889,3338,529,372,41205,2207,7276,1175,4308,670,3887,883,25377,2008,357,303
