Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Median household income for units with a mortgage,Margin of Error; Total: - Median household income for units with a mortgage,Estimate; Total: - Median household for units without a mortgage,Margin of Error; Total: - Median household for units without a mortgage
0500000US06031,6031,"Kings County, California",2012,62054,4922,71797,5976,41818,7914
0500000US06033,6033,"Lake County, California",2012,42037,4771,47574,9697,38193,14949
0500000US06037,6037,"Los Angeles County, California",2012,80391,751,89828,1196,51746,1252
0500000US06039,6039,"Madera County, California",2012,52917,4305,59967,4153,42070,8676
0500000US06041,6041,"Marin County, California",2012,117260,5564,141069,10267,70753,8094
0500000US06045,6045,"Mendocino County, California",2012,59481,3087,65174,10475,52599,7170
0500000US06047,6047,"Merced County, California",2012,60917,3954,68550,4983,40772,7168
0500000US06053,6053,"Monterey County, California",2012,76358,2236,82721,4521,56367,7615
0500000US06055,6055,"Napa County, California",2012,83792,8571,100515,5800,49515,5620
0500000US06057,6057,"Nevada County, California",2012,66385,6573,81239,14465,52658,11584
0500000US06059,6059,"Orange County, California",2012,95865,1558,107934,2142,59527,2424
0500000US06061,6061,"Placer County, California",2012,83784,4708,98368,4013,47152,4777
0500000US06065,6065,"Riverside County, California",2012,64950,1474,76049,1808,37506,1750
0500000US06067,6067,"Sacramento County, California",2012,73550,2137,80695,1855,50092,3303
0500000US06071,6071,"San Bernardino County, California",2012,65527,1820,74234,2543,40148,1920
0500000US06073,6073,"San Diego County, California",2012,81732,1151,93179,2235,50380,1495
0500000US06075,6075,"San Francisco County, California",2012,109216,5054,130270,6526,64976,7861
0500000US06077,6077,"San Joaquin County, California",2012,69685,2737,78918,3080,43186,3156
0500000US06079,6079,"San Luis Obispo County, California",2012,79636,5488,91235,3904,52959,7298
0500000US06081,6081,"San Mateo County, California",2012,108411,4598,123155,4397,65822,5737
0500000US06083,6083,"Santa Barbara County, California",2012,83782,5983,97276,6157,54909,7276
0500000US06085,6085,"Santa Clara County, California",2012,116541,2176,130768,2199,67746,3265
0500000US06087,6087,"Santa Cruz County, California",2012,89267,5921,102959,5605,56725,4776
0500000US06089,6089,"Shasta County, California",2012,55556,4604,67967,5045,36996,3290
0500000US06095,6095,"Solano County, California",2012,81098,1959,90518,4667,57600,6445
0500000US06097,6097,"Sonoma County, California",2012,77357,2044,88404,3942,51248,3718
0500000US06099,6099,"Stanislaus County, California",2012,63128,2561,69911,3175,44021,3062
0500000US06101,6101,"Sutter County, California",2012,63163,5429,73157,5873,43690,9495
0500000US06107,6107,"Tulare County, California",2012,53715,2918,58936,3059,37626,3395
0500000US06111,6111,"Ventura County, California",2012,91663,2134,101516,2047,54776,3772
0500000US06113,6113,"Yolo County, California",2012,87061,5467,97841,4160,51875,10952
0500000US06115,6115,"Yuba County, California",2012,60696,8234,68254,9823,34375,6992
0500000US06001,6001,"Alameda County, California",2013,105265,3079,119960,3006,69760,4135
0500000US06007,6007,"Butte County, California",2013,56997,4518,68490,2167,40861,4293
0500000US06013,6013,"Contra Costa County, California",2013,101324,2180,114915,3387,61133,4145
0500000US06017,6017,"El Dorado County, California",2013,74991,5904,97036,8532,44918,7946
0500000US06019,6019,"Fresno County, California",2013,63582,2702,70720,1799,46680,3649
0500000US06023,6023,"Humboldt County, California",2013,52643,3767,64219,4342,38041,6424
0500000US06025,6025,"Imperial County, California",2013,62401,3369,71867,5701,39721,5436
0500000US06029,6029,"Kern County, California",2013,67079,2550,76514,1830,42527,5012
0500000US06031,6031,"Kings County, California",2013,66156,7977,73028,9892,47303,9669
0500000US06033,6033,"Lake County, California",2013,52448,8459,61114,8606,36368,17074
0500000US06037,6037,"Los Angeles County, California",2013,81897,999,91460,1001,54760,1703
0500000US06039,6039,"Madera County, California",2013,54223,8396,60289,5823,37329,9005
0500000US06041,6041,"Marin County, California",2013,125022,10544,144338,9977,70323,12943
0500000US06045,6045,"Mendocino County, California",2013,55884,6248,67612,6674,36183,7950
