Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Median value for units with a mortgage,Margin of Error; Total: - Median value for units with a mortgage,Estimate; Total: - Median value for units without a mortgage,Margin of Error; Total: - Median value for units without a mortgage
0500000US06061,6061,"Placer County, California",2009,369400,6041,374700,6658,349700,17088
0500000US06065,6065,"Riverside County, California",2009,247200,3965,256500,4744,203200,11321
0500000US06067,6067,"Sacramento County, California",2009,257800,4613,263600,5070,237400,8700
0500000US06071,6071,"San Bernardino County, California",2009,242000,4294,254800,4806,175000,10816
0500000US06073,6073,"San Diego County, California",2009,417700,5353,427000,6193,386000,8715
0500000US06075,6075,"San Francisco County, California",2009,751600,18304,775900,22656,705600,26977
0500000US06077,6077,"San Joaquin County, California",2009,221600,5918,229200,6526,178600,23235
0500000US06079,6079,"San Luis Obispo County, California",2009,460300,16340,470100,18364,425300,40499
0500000US06081,6081,"San Mateo County, California",2009,731800,13314,738300,13741,711400,28535
0500000US06083,6083,"Santa Barbara County, California",2009,553900,31245,528300,43130,605600,49837
0500000US06085,6085,"Santa Clara County, California",2009,645500,7430,645000,8235,647400,18253
0500000US06087,6087,"Santa Cruz County, California",2009,590800,18184,611800,18045,519400,62334
0500000US06089,6089,"Shasta County, California",2009,243300,7596,258200,13156,217400,14023
0500000US06095,6095,"Solano County, California",2009,297300,7687,311500,8537,233100,18477
0500000US06097,6097,"Sonoma County, California",2009,446700,10646,462400,12616,387600,21373
0500000US06099,6099,"Stanislaus County, California",2009,196800,7736,202900,8213,172400,12849
0500000US06101,6101,"Sutter County, California",2009,199600,13724,207600,18475,178400,27548
0500000US06107,6107,"Tulare County, California",2009,175400,8073,186500,11335,158000,6471
0500000US06111,6111,"Ventura County, California",2009,475900,8890,486200,10123,417600,28594
0500000US06113,6113,"Yolo County, California",2009,337700,13687,346900,16368,293200,46811
0500000US06115,6115,"Yuba County, California",2009,180700,23655,189000,33785,167500,32344
0500000US06001,6001,"Alameda County, California",2010,497200,8918,496200,10332,500600,17322
0500000US06007,6007,"Butte County, California",2010,233800,10826,249500,12129,197500,20847
0500000US06013,6013,"Contra Costa County, California",2010,416000,17153,421300,19223,394600,25486
0500000US06017,6017,"El Dorado County, California",2010,376600,13964,386300,16516,346700,25628
0500000US06019,6019,"Fresno County, California",2010,212500,4546,217600,4300,190200,16952
0500000US06023,6023,"Humboldt County, California",2010,294100,12602,311100,22290,262900,27204
0500000US06025,6025,"Imperial County, California",2010,154100,5495,159100,5143,123700,16646
0500000US06029,6029,"Kern County, California",2010,164200,3666,170600,4334,138900,13568
0500000US06031,6031,"Kings County, California",2010,184600,9771,186600,14219,181200,12399
0500000US06033,6033,"Lake County, California",2010,196200,23892,228900,21731,120100,51069
0500000US06037,6037,"Los Angeles County, California",2010,429500,4088,429500,4428,429500,7726
