Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
0500000US06017,6017,"El Dorado County, California",2010,15937,2081,416,468,918,491,1046,589,1300,730,2036,1006,1648,719,915,487,1217,511,5311,1424,1130,553
0500000US06019,6019,"Fresno County, California",2010,130407,4533,4203,1102,8377,1398,13726,2073,14591,2153,11528,1884,9264,1782,7583,1165,10291,1892,42493,2702,8351,1409
0500000US06023,6023,"Humboldt County, California",2010,23420,2073,474,385,1279,570,1814,738,2012,754,2318,770,2763,1101,1739,733,2751,1095,6953,1313,1317,639
0500000US06025,6025,"Imperial County, California",2010,20259,1729,883,552,937,505,2297,905,1990,784,2852,853,1347,592,1420,614,1438,668,5584,1062,1511,563
0500000US06029,6029,"Kern County, California",2010,103345,4129,2737,942,7603,1423,9775,1650,11178,1834,10144,1501,9371,1775,7640,1720,8082,1524,29631,2756,7184,1432
0500000US06031,6031,"Kings County, California",2010,19865,1745,402,375,1803,724,1400,658,3025,908,2148,790,1881,787,1245,516,1082,725,4667,1026,2212,914
0500000US06033,6033,"Lake County, California",2010,8551,1710,281,358,188,234,548,413,650,432,693,471,888,530,825,674,957,682,2992,1088,529,345
0500000US06037,6037,"Los Angeles County, California",2010,1700905,14777,35634,3063,96233,5368,167292,6629,176472,6848,186444,6077,145074,6212,129215,6271,170885,5920,514006,10991,79650,5041
0500000US06039,6039,"Madera County, California",2010,16720,2092,504,504,2160,881,2031,859,1863,812,1126,539,1052,563,827,392,1525,705,4001,1241,1631,744
0500000US06041,6041,"Marin County, California",2010,36263,2655,2179,698,2032,695,3520,990,3313,922,3171,866,2810,913,4015,1186,2817,938,11151,1968,1255,475
0500000US06045,6045,"Mendocino County, California",2010,14739,1677,298,283,986,498,1209,546,1222,589,1716,720,1183,477,1017,491,2168,913,3600,1011,1340,706
0500000US06047,6047,"Merced County, California",2010,33551,2467,662,473,2725,822,2841,841,3717,1022,3903,969,2909,946,1460,753,3472,1019,9138,1659,2724,812
0500000US06053,6053,"Monterey County, California",2010,61552,3144,1100,634,3282,946,6513,1410,6950,1493,7279,1366,6352,1641,4861,1151,6870,1180,16068,1828,2277,832
0500000US06055,6055,"Napa County, California",2010,18806,1866,439,283,884,465,1978,831,2164,987,2683,850,1857,622,1094,448,1416,659,5643,1063,648,385
0500000US06057,6057,"Nevada County, California",2010,12573,1814,139,172,370,342,1236,674,1048,596,958,562,1110,635,1028,576,2339,866,3122,988,1223,619
0500000US06059,6059,"Orange County, California",2010,401983,7249,7759,1614,21384,2532,38189,3273,47785,4247,46160,3518,42577,3301,29762,2742,39024,3488,113860,4846,15483,1985
0500000US06061,6061,"Placer County, California",2010,37884,3175,1134,601,3016,1020,3127,1162,5230,1473,3844,1089,3755,1170,1880,792,4134,1095,9347,1498,2417,859
0500000US06065,6065,"Riverside County, California",2010,211802,6293,3957,1255,9994,1877,19344,2602,21960,2283,20302,2292,18755,2367,17181,2294,23182,2919,68140,3925,8987,1737
0500000US06067,6067,"Sacramento County, California",2010,220149,6521,5303,1164,9148,1604,24474,2726,23245,2557,24963,2974,20534,2748,16768,2192,22109,2433,64514,3369,9091,1466
0500000US06071,6071,"San Bernardino County, California",2010,222440,6787,4089,1027,12008,1759,21897,2927,24110,2605,21026,2964,19964,2069,18189,2081,26737,2709,64344,4152,10076,1750
0500000US06073,6073,"San Diego County, California",2010,488810,8262,8582,1873,24305,2882,44812,3284,58356,3803,55280,3850,44799,3143,36215,3491,52802,4039,138882,4981,24777,2842
0500000US06075,6075,"San Francisco County, California",2010,212884,5751,8473,1437,25839,3304,26271,2309,25127,2386,23166,3016,19603,2838,11280,1554,16504,2580,46121,3711,10500,2134
