Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Housing units with a mortgage:,Margin of Error; Housing units with a mortgage:,Estimate; Housing units with a mortgage: - Less than 10.0 percent,Margin of Error; Housing units with a mortgage: - Less than 10.0 percent,Estimate; Housing units with a mortgage: - 10.0 to 14.9 percent,Margin of Error; Housing units with a mortgage: - 10.0 to 14.9 percent,Estimate; Housing units with a mortgage: - 15.0 to 19.9 percent,Margin of Error; Housing units with a mortgage: - 15.0 to 19.9 percent,Estimate; Housing units with a mortgage: - 20.0 to 24.9 percent,Margin of Error; Housing units with a mortgage: - 20.0 to 24.9 percent,Estimate; Housing units with a mortgage: - 25.0 to 29.9 percent,Margin of Error; Housing units with a mortgage: - 25.0 to 29.9 percent,Estimate; Housing units with a mortgage: - 30.0 to 34.9 percent,Margin of Error; Housing units with a mortgage: - 30.0 to 34.9 percent,Estimate; Housing units with a mortgage: - 35.0 to 39.9 percent,Margin of Error; Housing units with a mortgage: - 35.0 to 39.9 percent,Estimate; Housing units with a mortgage: - 40.0 to 49.9 percent,Margin of Error; Housing units with a mortgage: - 40.0 to 49.9 percent,Estimate; Housing units with a mortgage: - 50.0 percent or more,Margin of Error; Housing units with a mortgage: - 50.0 percent or more,Estimate; Housing units with a mortgage: - Not computed,Margin of Error; Housing units with a mortgage: - Not computed,Estimate; Housing units without a mortgage:,Margin of Error; Housing units without a mortgage:,Estimate; Housing units without a mortgage: - Less than 10.0 percent,Margin of Error; Housing units without a mortgage: - Less than 10.0 percent,Estimate; Housing units without a mortgage: - 10.0 to 14.9 percent,Margin of Error; Housing units without a mortgage: - 10.0 to 14.9 percent,Estimate; Housing units without a mortgage: - 15.0 to 19.9 percent,Margin of Error; Housing units without a mortgage: - 15.0 to 19.9 percent,Estimate; Housing units without a mortgage: - 20.0 to 24.9 percent,Margin of Error; Housing units without a mortgage: - 20.0 to 24.9 percent,Estimate; Housing units without a mortgage: - 25.0 to 29.9 percent,Margin of Error; Housing units without a mortgage: - 25.0 to 29.9 percent,Estimate; Housing units without a mortgage: - 30.0 to 34.9 percent,Margin of Error; Housing units without a mortgage: - 30.0 to 34.9 percent,Estimate; Housing units without a mortgage: - 35.0 to 39.9 percent,Margin of Error; Housing units without a mortgage: - 35.0 to 39.9 percent,Estimate; Housing units without a mortgage: - 40.0 to 49.9 percent,Margin of Error; Housing units without a mortgage: - 40.0 to 49.9 percent,Estimate; Housing units without a mortgage: - 50.0 percent or more,Margin of Error; Housing units without a mortgage: - 50.0 percent or more,Estimate; Housing units without a mortgage: - Not computed,Margin of Error; Housing units without a mortgage: - Not computed
0500000US06097,6097,"Sonoma County, California",2005,113484,3889,84766,3400,2456,571,6353,1232,8626,1399,10585,1624,11297,1555,7882,1313,10188,2049,9041,1424,18007,2141,331,326,28718,2388,10910,1408,5364,1076,3391,825,2202,642,1247,477,1036,428,1108,481,1408,598,1651,495,401,298
0500000US06099,6099,"Stanislaus County, California",2005,100836,3462,76698,3154,1894,655,6229,1374,10072,1461,11104,1439,9778,1323,9490,1541,5739,1150,7804,1243,14588,2121,0,293,24138,1818,9614,1410,4785,1066,3342,871,1867,687,1066,366,1053,507,514,277,562,348,1227,460,108,110
0500000US06101,6101,"Sutter County, California",2005,19429,1224,13638,1138,672,362,1621,724,2057,507,1997,643,1993,686,938,422,1843,652,969,452,1483,532,65,109,5791,901,2818,677,838,334,719,297,395,244,203,182,152,151,194,272,181,133,257,156,34,54
0500000US06107,6107,"Tulare County, California",2005,71243,2497,51118,2458,3403,993,6473,1182,7080,1033,7269,1050,5713,1053,5403,1124,3017,677,5051,1216,7483,1103,226,261,20125,1598,8679,1210,3914,735,2290,587,1150,426,747,338,759,364,234,117,301,201,1730,590,321,362
0500000US06111,6111,"Ventura County, California",2005,174154,4423,138637,4436,4711,1040,12623,1741,18519,2308,22683,2494,16608,1853,15970,2266,9483,1492,13163,1892,24675,2517,202,227,35517,2251,14558,1617,7241,1137,3815,909,2502,814,1590,495,670,375,1319,979,1565,1033,2009,634,248,325
0500000US06113,6113,"Yolo County, California",2005,36348,1829,26625,1797,1203,591,3041,879,2845,803,4407,1023,3864,908,2885,709,2136,574,2732,914,3477,903,35,59,9723,1114,4529,696,1236,543,1142,439,936,489,604,364,317,249,143,144,0,293,720,367,96,122
0500000US06115,6115,"Yuba County, California",2005,12909,1449,8372,1367,448,292,1314,531,1010,423,785,420,1284,611,836,382,466,346,924,398,1305,519,0,293,4537,782,2714,791,774,322,194,167,243,215,310,255,150,155,0,293,43,78,63,111,46,82
0500000US06001,6001,"Alameda County, California",2006,296733,4773,232569,4679,5161,1059,16880,1961,28874,2408,32694,2966,28456,2470,24128,2324,19043,2049,25159,2169,51464,2911,710,363,64164,3152,28883,2025,12284,1545,6346,1156,4021,864,2727,675,2384,784,1004,439,2003,828,3958,920,554,431
0500000US06007,6007,"Butte County, California",2006,51211,1957,32678,2233,1470,528,3252,837,4774,1029,5481,1169,3683,846,3403,763,2666,701,3391,891,4558,1015,0,289,18533,1599,7459,1031,3467,814,1712,504,963,394,1235,491,778,486,766,440,820,438,1193,536,140,156
0500000US06013,6013,"Contra Costa County, California",2006,258877,4662,207360,4511,7053,1215,14753,1966,22089,2183,27624,2362,23003,2246,22884,2478,18586,1970,26194,2320,44747,3196,427,315,51517,2743,22649,1790,9452,1457,5540,1096,4170,962,2336,768,1421,526,1413,432,1080,535,3192,717,264,280
0500000US06017,6017,"El Dorado County, California",2006,49224,1868,38404,1930,972,451,3242,748,4781,1104,5402,970,4922,1007,4216,944,2819,703,4022,978,7882,1226,146,142,10820,1171,4603,919,1748,552,1609,603,473,252,331,226,498,281,678,450,337,229,495,311,48,79
0500000US06019,6019,"Fresno County, California",2006,152363,3959,114231,3551,4908,1091,10985,1339,16651,1634,17349,1967,12711,1548,11042,1533,8123,1360,11627,1725,20172,2125,663,395,38132,2339,15410,1298,8211,1388,4520,809,3037,811,1311,429,1455,485,562,332,946,326,2450,780,230,229
0500000US06023,6023,"Humboldt County, California",2006,28751,1568,17197,1467,586,284,1699,610,2462,651,2396,579,2089,700,1310,403,1498,522,1528,570,3572,820,57,95,11554,1266,6133,1101,1666,505,1015,454,584,345,683,355,292,213,378,373,327,196,419,234,57,75
0500000US06025,6025,"Imperial County, California",2006,27196,2081,19212,1873,783,409,1041,445,2041,736,3087,846,2298,793,1461,735,1535,539,2739,854,4145,956,82,100,7984,1214,3349,701,1353,620,1046,382,776,426,189,157,354,313,124,128,277,299,421,300,95,128
0500000US06029,6029,"Kern County, California",2006,147483,4000,111990,3877,5087,1101,12440,1453,17000,2256,14900,1683,15001,2367,10410,1521,7613,1146,10700,1617,18786,2281,53,62,35493,2362,14435,1615,6838,1082,4013,855,2572,660,1496,530,1192,533,981,489,951,330,2459,909,556,448
0500000US06031,6031,"Kings County, California",2006,22372,1540,16676,1396,522,269,1805,606,3504,853,2603,821,2728,814,1215,606,938,548,1391,464,1947,580,23,40,5696,921,3151,845,862,405,784,336,226,230,117,145,111,125,70,83,96,114,218,149,61,75
0500000US06033,6033,"Lake County, California",2006,16167,1927,9512,1542,355,329,159,171,706,454,1574,713,1001,470,1004,550,939,593,1051,545,2723,953,0,289,6655,1365,2118,776,1164,549,1046,502,775,430,375,272,229,245,140,147,62,105,746,498,0,289
0500000US06037,6037,"Los Angeles County, California",2006,1564640,11710,1219070,12583,42443,3096,90996,4466,130759,5269,152099,6427,141943,5309,120727,4947,92448,4013,139402,5850,301573,9156,6680,1462,345570,6915,151239,4774,58360,2467,35575,2433,25985,2701,14584,1783,10797,1520,8093,1259,11403,1451,24171,2326,5363,1188
0500000US06039,6039,"Madera County, California",2006,25064,1844,18093,1715,958,559,1210,454,2360,627,2692,774,2122,786,1918,657,1533,712,1251,554,3991,1023,58,100,6971,986,2029,710,1439,537,1313,437,335,265,456,238,119,163,86,146,228,198,819,442,147,175
0500000US06041,6041,"Marin County, California",2006,65129,2319,47367,2297,2339,679,4210,980,5294,1040,6049,1007,4552,1012,4238,963,3512,895,5057,1043,12043,1869,73,126,17762,1815,7139,1239,3098,809,2165,626,999,393,590,392,694,427,479,302,1211,623,1264,610,123,166
0500000US06045,6045,"Mendocino County, California",2006,21429,1452,12592,1397,441,275,682,338,1076,420,1700,633,1393,555,1190,614,905,402,1766,701,3263,969,176,202,8837,1224,2667,882,2260,584,1169,585,794,462,632,429,41,68,204,196,177,180,893,468,0,289
0500000US06047,6047,"Merced County, California",2006,38913,2209,27288,2296,867,432,1476,471,2624,681,4552,1086,2836,848,3035,906,2268,756,3594,844,5913,1388,123,144,11625,1291,4617,694,2296,738,1314,505,1061,461,445,254,726,374,0,289,388,258,724,312,54,90
0500000US06053,6053,"Monterey County, California",2006,68716,2531,50021,2789,2255,708,2887,898,3906,992,6335,1000,7054,1225,3695,859,4379,1069,5564,1084,13897,1723,49,80,18695,1647,8908,1116,3705,847,1736,601,1005,452,971,423,298,205,243,301,255,206,1487,637,87,117
