Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; With a mortgage:,Margin of Error; With a mortgage:,"Estimate; With a mortgage: - Less than $50,000","Margin of Error; With a mortgage: - Less than $50,000","Estimate; With a mortgage: - $50,000 to $99,999","Margin of Error; With a mortgage: - $50,000 to $99,999","Estimate; With a mortgage: - $100,000 to $149,999","Margin of Error; With a mortgage: - $100,000 to $149,999","Estimate; With a mortgage: - $150,000 to $199,999","Margin of Error; With a mortgage: - $150,000 to $199,999","Estimate; With a mortgage: - $200,000 to $299,999","Margin of Error; With a mortgage: - $200,000 to $299,999","Estimate; With a mortgage: - $300,000 to $499,999","Margin of Error; With a mortgage: - $300,000 to $499,999","Estimate; With a mortgage: - $500,000 or more","Margin of Error; With a mortgage: - $500,000 or more",Estimate; Not mortgaged:,Margin of Error; Not mortgaged:,"Estimate; Not mortgaged: - Less than $50,000","Margin of Error; Not mortgaged: - Less than $50,000","Estimate; Not mortgaged: - $50,000 to $99,999","Margin of Error; Not mortgaged: - $50,000 to $99,999","Estimate; Not mortgaged: - $100,000 to $149,999","Margin of Error; Not mortgaged: - $100,000 to $149,999","Estimate; Not mortgaged: - $150,000 to $199,999","Margin of Error; Not mortgaged: - $150,000 to $199,999","Estimate; Not mortgaged: - $200,000 to $299,999","Margin of Error; Not mortgaged: - $200,000 to $299,999","Estimate; Not mortgaged: - $300,000 to $499,999","Margin of Error; Not mortgaged: - $300,000 to $499,999","Estimate; Not mortgaged: - $500,000 or more","Margin of Error; Not mortgaged: - $500,000 or more"
0500000US06115,6115,"Yuba County, California",2012,14671,1122,10375,1159,49,86,1524,550,1859,556,2786,738,2920,849,857,434,380,359,4296,856,1024,428,898,479,705,331,341,251,618,309,177,173,533,315
0500000US06001,6001,"Alameda County, California",2013,288417,4698,217870,4957,4974,769,1617,550,3669,849,6196,1336,20852,2095,63686,3329,116876,3875,70547,3073,4206,894,3310,814,1499,431,2131,599,6393,1043,19437,1955,33571,2374
0500000US06007,6007,"Butte County, California",2013,48961,2379,30662,1997,1261,451,2341,690,4159,686,4513,776,8419,1248,7919,1395,2050,618,18299,1689,3924,734,1966,614,1352,434,2636,737,3686,817,3811,958,924,442
0500000US06013,6013,"Contra Costa County, California",2013,247289,4837,182194,4683,3861,947,2394,861,6066,1309,11965,1707,26763,2095,53276,2674,77869,3103,65095,3483,6314,1135,2028,670,3366,919,4053,925,10116,1500,15244,1557,23974,2361
0500000US06017,6017,"El Dorado County, California",2013,48749,2157,34055,2077,826,414,297,243,465,267,3356,893,6005,1144,14477,1810,8629,1458,14694,1660,1843,662,278,272,1192,644,1014,526,2941,794,4804,977,2622,617
0500000US06019,6019,"Fresno County, California",2013,152766,3755,108751,3449,3612,702,11275,1489,18677,1751,23446,2353,27804,2295,16284,1625,7653,1421,44015,2856,6435,1116,5492,927,6610,1212,7750,1271,8516,1145,6712,1108,2500,573
0500000US06023,6023,"Humboldt County, California",2013,28950,1391,17226,1397,477,286,271,225,979,413,2656,851,6200,1054,5368,881,1275,394,11724,1064,1794,563,756,329,451,255,1151,488,3191,797,3095,692,1286,517
0500000US06025,6025,"Imperial County, California",2013,25644,2032,15947,1862,352,246,2031,862,4414,1244,4592,1045,3738,1079,405,256,415,401,9697,1243,2704,604,1490,564,2038,746,1381,568,899,434,931,414,254,184
0500000US06029,6029,"Kern County, California",2013,137511,4443,96246,3999,4002,1094,15601,1996,19047,2316,19546,2252,23032,2249,11681,1612,3337,720,41265,2691,8223,1330,8743,1561,6343,1301,5894,1021,7413,1249,4106,838,543,303
0500000US06031,6031,"Kings County, California",2013,21090,1578,14699,1460,247,239,2247,718,3073,763,4392,877,3058,741,1090,444,592,468,6391,992,1213,516,863,420,1233,406,936,387,1106,543,753,297,287,212
0500000US06033,6033,"Lake County, California",2013,16595,1322,10145,1396,396,298,1088,489,2757,829,2074,769,1646,657,1352,533,832,512,6450,1099,1000,558,1639,611,376,207,891,414,1045,428,480,265,1019,484
0500000US06037,6037,"Los Angeles County, California",2013,1477894,14280,1097561,13495,27986,2430,14977,1703,27495,2115,43264,2833,163584,5418,398424,9379,421831,8320,380333,6735,31833,2251,14794,1474,9409,1350,13283,1408,44527,2604,119870,4429,146617,4212
0500000US06039,6039,"Madera County, California",2013,25570,1786,17072,1785,164,188,3092,906,3670,900,3086,920,3551,729,2778,727,731,361,8498,1102,962,450,1074,538,1080,606,2086,674,1134,500,1323,506,839,484
0500000US06041,6041,"Marin County, California",2013,67526,2327,48916,2497,818,506,279,198,162,153,576,336,1389,586,5333,1156,40359,2359,18610,1717,981,477,666,365,323,227,318,215,651,332,2141,696,13530,1407
0500000US06045,6045,"Mendocino County, California",2013,19271,1571,11236,1519,419,279,108,131,939,460,1089,547,3069,943,3730,885,1882,738,8035,1173,877,439,1255,683,273,208,554,257,1171,459,2036,579,1869,558
0500000US06047,6047,"Merced County, California",2013,40650,2025,27417,1987,996,471,4826,1170,7360,1264,5820,1051,4013,1052,2930,690,1472,640,13233,1407,2426,655,2445,786,2732,733,2406,825,1549,612,1056,396,619,258
0500000US06053,6053,"Monterey County, California",2013,61919,2274,42942,2515,845,311,663,297,2305,816,3659,839,9075,1522,12529,1511,13866,1554,18977,1407,1437,524,1152,461,817,279,1109,497,2229,635,5254,1034,6979,1001
0500000US06055,6055,"Napa County, California",2013,29568,1564,21978,1439,742,281,351,218,356,225,838,374,2613,549,7891,1025,9187,1043,7590,1081,872,351,854,304,318,212,240,196,945,342,1637,476,2724,592
0500000US06057,6057,"Nevada County, California",2013,28215,1601,18435,1515,622,359,173,197,343,217,1290,644,4949,1162,7187,1339,3871,834,9780,1460,802,426,141,113,74,81,1035,502,2117,781,3303,905,2308,765
0500000US06059,6059,"Orange County, California",2013,577242,6926,423346,6902,10235,1280,4462,1062,5200,1028,6584,1753,25329,2260,129022,4946,242514,6379,153896,4878,13374,1577,7557,1148,4617,943,4939,1061,10054,1381,39010,2535,74345,3415
0500000US06061,6061,"Placer County, California",2013,92391,2806,68275,2837,1714,466,605,415,1436,617,4245,867,14564,1538,29687,2246,16024,1796,24116,1678,2826,703,1022,417,665,412,910,525,4775,940,8999,1089,4919,973
0500000US06065,6065,"Riverside County, California",2013,442179,7433,325105,7712,13953,1817,14627,1818,33622,2892,51100,4059,91921,4799,91052,4032,28830,2746,117074,4306,25526,2351,12708,1736,10979,1479,14317,1930,20984,1554,21160,1830,11400,1451
0500000US06067,6067,"Sacramento County, California",2013,282206,5311,210444,5965,7228,1080,9440,1305,21903,1986,38481,3084,61004,3755,53339,3064,19049,1879,71762,3428,9487,1142,4763,883,7027,1066,10996,1257,15934,1794,16901,1573,6654,942
0500000US06071,6071,"San Bernardino County, California",2013,361591,5248,266470,5361,9470,1347,17979,1844,33643,3376,41010,2905,65806,3205,71759,3783,26803,2516,95121,3678,20745,2151,8687,1490,11192,1584,12084,1590,17852,2104,17321,2170,7240,1256
0500000US06073,6073,"San Diego County, California",2013,576985,6112,426725,7595,9360,1341,5176,1179,8221,1205,16805,2158,63882,3862,168850,6070,154431,5050,150260,4992,18706,2235,8013,1394,4556,1117,5859,1221,15772,2068,47840,2557,49514,2962
0500000US06075,6075,"San Francisco County, California",2013,127211,4092,86276,3943,1040,429,453,259,328,243,232,188,1464,525,8504,1238,74255,3773,40935,2193,1630,593,416,228,642,327,253,193,589,328,4258,867,33147,2134
0500000US06077,6077,"San Joaquin County, California",2013,119716,3216,86166,3549,3444,853,6175,1244,13156,1491,16623,2196,22126,2409,18813,2203,5829,1053,33550,2217,5461,914,4078,817,3494,662,4873,804,7215,1107,5474,1138,2955,651
0500000US06079,6079,"San Luis Obispo County, California",2013,59488,2158,40001,2386,1061,462,730,325,493,317,1261,517,5591,1218,16360,2124,14505,1826,19487,1645,2128,713,1061,635,500,302,627,294,1773,664,5166,869,8232,1240
0500000US06081,6081,"San Mateo County, California",2013,156006,3266,112831,3412,1983,606,742,291,764,384,723,334,2805,784,13388,1463,92426,3550,43175,2158,1552,490,742,342,427,290,252,216,1291,510,6073,1144,32838,1907
0500000US06083,6083,"Santa Barbara County, California",2013,73083,2839,49627,2754,1130,381,1369,566,1424,505,3181,659,9414,1462,10093,1351,23016,1592,23456,2207,3393,1094,1088,423,892,359,1009,420,3145,689,3497,811,10432,1472
0500000US06085,6085,"Santa Clara County, California",2013,346701,5514,250638,5458,4485,712,3075,817,2171,635,2826,974,7614,1298,46238,3028,184229,4323,96063,3315,7388,1200,4178,781,1309,590,2247,704,3572,869,13587,1375,63782,2672
0500000US06087,6087,"Santa Cruz County, California",2013,56426,2450,39692,2395,677,315,960,627,333,225,797,357,3600,889,12150,1685,21175,1817,16734,1522,958,404,999,533,413,274,438,268,1507,541,3316,701,9103,1262
0500000US06089,6089,"Shasta County, California",2013,42681,1855,27536,1823,1610,478,1385,612,3368,801,5781,1180,7910,1196,5902,843,1580,591,15145,1476,2858,710,1540,569,1621,499,1823,443,3579,676,2796,760,928,357
0500000US06095,6095,"Solano County, California",2013,84317,3067,63996,3008,2455,583,1158,471,4692,826,10956,1677,19139,1709,19017,1492,6579,963,20321,1815,2485,697,1339,617,2821,626,2711,602,4499,881,4637,881,1829,541
0500000US06097,6097,"Sonoma County, California",2013,110682,3513,77932,3300,2782,671,1180,573,998,473,2286,640,11264,1475,30644,2754,28778,2099,32750,2215,5425,1183,1879,658,988,543,771,302,3346,737,9491,1439,10850,1401
0500000US06099,6099,"Stanislaus County, California",2013,94674,2732,69062,2864,3359,785,7297,1258,14196,1710,14830,1980,16167,2190,10649,1311,2564,747,25612,1791,4206,780,2018,579,3530,799,5642,1156,4739,1083,3162,767,2315,543
0500000US06101,6101,"Sutter County, California",2013,18772,1353,12955,1422,466,236,685,343,2971,796,3195,797,3149,774,1655,570,834,376,5817,923,866,409,511,254,611,288,1278,398,1406,590,743,357,402,199
0500000US06107,6107,"Tulare County, California",2013,70872,2878,50936,2980,1322,481,6928,1092,12043,2136,11646,1776,10219,1632,7194,1792,1584,490,19936,1766,3877,859,3880,885,4054,988,1914,568,3244,730,1848,466,1119,512
0500000US06111,6111,"Ventura County, California",2013,168134,3661,127156,3490,2973,685,1765,636,1491,663,1874,630,15263,1984,50356,2952,53434,2661,40978,2562,3510,804,3025,687,1466,529,1049,383,4949,969,14179,1909,12800,1104
0500000US06113,6113,"Yolo County, California",2013,34816,1715,24845,1781,821,566,156,160,1312,570,2385,700,5575,1134,8914,1291,5682,857,9971,1269,995,463,739,376,808,404,647,296,1664,518,2648,711,2470,671
0500000US06115,6115,"Yuba County, California",2013,14230,1178,9869,1344,480,327,1315,592,1827,619,2591,716,2286,785,1073,557,297,258,4361,953,809,535,727,405,815,467,477,297,580,420,841,428,112,114
