Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; With a mortgage:,Margin of Error; With a mortgage:,"Estimate; With a mortgage: - Less than $50,000","Margin of Error; With a mortgage: - Less than $50,000","Estimate; With a mortgage: - $50,000 to $99,999","Margin of Error; With a mortgage: - $50,000 to $99,999","Estimate; With a mortgage: - $100,000 to $149,999","Margin of Error; With a mortgage: - $100,000 to $149,999","Estimate; With a mortgage: - $150,000 to $199,999","Margin of Error; With a mortgage: - $150,000 to $199,999","Estimate; With a mortgage: - $200,000 to $299,999","Margin of Error; With a mortgage: - $200,000 to $299,999","Estimate; With a mortgage: - $300,000 to $499,999","Margin of Error; With a mortgage: - $300,000 to $499,999","Estimate; With a mortgage: - $500,000 or more","Margin of Error; With a mortgage: - $500,000 or more",Estimate; Not mortgaged:,Margin of Error; Not mortgaged:,"Estimate; Not mortgaged: - Less than $50,000","Margin of Error; Not mortgaged: - Less than $50,000","Estimate; Not mortgaged: - $50,000 to $99,999","Margin of Error; Not mortgaged: - $50,000 to $99,999","Estimate; Not mortgaged: - $100,000 to $149,999","Margin of Error; Not mortgaged: - $100,000 to $149,999","Estimate; Not mortgaged: - $150,000 to $199,999","Margin of Error; Not mortgaged: - $150,000 to $199,999","Estimate; Not mortgaged: - $200,000 to $299,999","Margin of Error; Not mortgaged: - $200,000 to $299,999","Estimate; Not mortgaged: - $300,000 to $499,999","Margin of Error; Not mortgaged: - $300,000 to $499,999","Estimate; Not mortgaged: - $500,000 or more","Margin of Error; Not mortgaged: - $500,000 or more"
0500000US06031,6031,"Kings County, California",2006,22372,1540,16676,1396,265,208,906,577,1691,814,2628,695,5153,777,5282,911,751,435,5696,921,940,451,665,447,409,206,1593,558,843,316,918,371,328,197
0500000US06033,6033,"Lake County, California",2006,16167,1927,9512,1542,231,285,82,136,601,475,862,663,2134,777,3736,974,1866,727,6655,1365,1150,528,121,205,473,303,695,406,1063,580,2144,822,1009,378
0500000US06037,6037,"Los Angeles County, California",2006,1564640,11710,1219070,12583,10868,1597,15515,1762,9092,1249,12320,1670,52335,3048,361170,7586,757770,11000,345570,6915,17535,2055,13565,1632,9334,1249,9352,1283,21050,1971,87637,3814,187097,5647
0500000US06039,6039,"Madera County, California",2006,25064,1844,18093,1715,450,306,270,233,309,269,1405,597,4054,856,8772,1440,2833,731,6971,986,655,323,627,315,431,267,667,355,1328,572,2482,665,781,352
0500000US06041,6041,"Marin County, California",2006,65129,2319,47367,2297,75,141,247,193,131,150,287,215,523,331,1728,532,44376,2286,17762,1815,580,470,230,188,241,146,484,397,347,196,1407,541,14473,1578
0500000US06045,6045,"Mendocino County, California",2006,21429,1452,12592,1397,186,202,201,188,210,211,376,289,1009,489,5050,960,5560,1133,8837,1224,665,361,795,414,451,239,348,231,878,493,2300,698,3400,1019
0500000US06047,6047,"Merced County, California",2006,38913,2209,27288,2296,207,172,154,163,461,239,1513,636,5190,1076,13442,1844,6321,1128,11625,1291,1190,452,778,462,116,121,1044,383,1741,438,4743,932,2013,498
0500000US06053,6053,"Monterey County, California",2006,68716,2531,50021,2789,265,195,633,341,289,270,830,393,1136,454,7715,1114,39153,2566,18695,1647,828,335,970,453,427,267,497,329,838,371,2451,648,12684,1365
0500000US06055,6055,"Napa County, California",2006,29915,1619,20706,1694,36,61,107,124,126,130,131,109,443,319,2488,672,17375,1663,9209,1100,709,357,598,367,484,351,314,220,200,220,1026,444,5878,1056
0500000US06057,6057,"Nevada County, California",2006,29191,1931,19643,1657,421,394,0,289,215,183,108,121,1648,666,7958,1156,9293,1230,9548,1296,491,311,734,458,218,176,373,246,1092,561,2749,872,3891,869
