Id,Id2,Geography,Year,Estimate; Total,Margin of Error; Total
0500000US06113,6113,"Yolo County, California",2010,75095,3857
0500000US06115,6115,"Yuba County, California",2010,27647,747
0500000US06001,6001,"Alameda County, California",2011,584631,801
0500000US06007,6007,"Butte County, California",2011,95901,496
0500000US06013,6013,"Contra Costa County, California",2011,401362,476
0500000US06017,6017,"El Dorado County, California",2011,88784,267
0500000US06019,6019,"Fresno County, California",2011,318099,812
0500000US06023,6023,"Humboldt County, California",2011,61872,510
0500000US06025,6025,"Imperial County, California",2011,56291,340
0500000US06029,6029,"Kern County, California",2011,286972,945
0500000US06031,6031,"Kings County, California",2011,44175,664
0500000US06033,6033,"Lake County, California",2011,35396,278
0500000US06037,6037,"Los Angeles County, California",2011,3449489,2013
0500000US06039,6039,"Madera County, California",2011,49129,548
0500000US06041,6041,"Marin County, California",2011,111538,802
0500000US06045,6045,"Mendocino County, California",2011,40471,426
0500000US06047,6047,"Merced County, California",2011,83583,264
0500000US06053,6053,"Monterey County, California",2011,138811,2061
0500000US06055,6055,"Napa County, California",2011,54928,507
0500000US06057,6057,"Nevada County, California",2011,52895,270
0500000US06059,6059,"Orange County, California",2011,1050907,747
0500000US06061,6061,"Placer County, California",2011,154367,432
0500000US06065,6065,"Riverside County, California",2011,807206,1090
0500000US06067,6067,"Sacramento County, California",2011,556334,1437
0500000US06071,6071,"San Bernardino County, California",2011,702114,1700
0500000US06073,6073,"San Diego County, California",2011,1168705,2230
0500000US06075,6075,"San Francisco County, California",2011,378261,1035
0500000US06077,6077,"San Joaquin County, California",2011,234820,682
0500000US06079,6079,"San Luis Obispo County, California",2011,117459,1022
0500000US06081,6081,"San Mateo County, California",2011,271363,409
0500000US06083,6083,"Santa Barbara County, California",2011,152856,687
0500000US06085,6085,"Santa Clara County, California",2011,633349,805
0500000US06087,6087,"Santa Cruz County, California",2011,104447,436
0500000US06089,6089,"Shasta County, California",2011,77340,464
0500000US06095,6095,"Solano County, California",2011,153295,454
0500000US06097,6097,"Sonoma County, California",2011,205383,1364
0500000US06099,6099,"Stanislaus County, California",2011,180094,290
0500000US06101,6101,"Sutter County, California",2011,33891,137
0500000US06107,6107,"Tulare County, California",2011,142924,291
0500000US06111,6111,"Ventura County, California",2011,282521,478
0500000US06113,6113,"Yolo County, California",2011,75542,341
