Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
0500000US06045,6045,"Mendocino County, California",2009,84648,1748,52843,3607,31805,3683
0500000US06047,6047,"Merced County, California",2009,240416,2673,128392,7600,112024,7387
0500000US06053,6053,"Monterey County, California",2009,392729,2937,191669,9423,201060,10017
0500000US06055,6055,"Napa County, California",2009,131855,2225,81021,6051,50834,5765
0500000US06057,6057,"Nevada County, California",2009,96688,1238,74134,4061,22554,3813
0500000US06059,6059,"Orange County, California",2009,2980857,6750,1764134,25517,1216723,25963
0500000US06061,6061,"Placer County, California",2009,347504,958,250635,7278,96869,7107
0500000US06065,6065,"Riverside County, California",2009,2090906,5543,1408691,24376,682215,24099
0500000US06067,6067,"Sacramento County, California",2009,1369736,4564,798062,17359,571674,17181
0500000US06071,6071,"San Bernardino County, California",2009,1979225,3625,1275727,20551,703498,20858
0500000US06073,6073,"San Diego County, California",2009,2952904,8458,1658051,21247,1294853,22224
0500000US06075,6075,"San Francisco County, California",2009,797475,3760,351621,12638,445854,12193
0500000US06077,6077,"San Joaquin County, California",2009,645592,14250,390161,18204,255431,14924
0500000US06079,6079,"San Luis Obispo County, California",2009,249726,2322,155548,6691,94178,6736
0500000US06081,6081,"San Mateo County, California",2009,709595,4022,448008,13733,261587,13959
0500000US06083,6083,"Santa Barbara County, California",2009,391857,3081,199757,7688,192100,7692
0500000US06085,6085,"Santa Clara County, California",2009,1750586,7403,1074168,21644,676418,20473
0500000US06087,6087,"Santa Cruz County, California",2009,247988,3499,150422,7038,97566,6218
0500000US06089,6089,"Shasta County, California",2009,178144,1602,113644,5621,64500,5757
0500000US06095,6095,"Solano County, California",2009,397164,1880,262296,8952,134868,8452
0500000US06097,6097,"Sonoma County, California",2009,461214,4094,278165,10406,183049,9745
0500000US06099,6099,"Stanislaus County, California",2009,505112,1761,294211,12744,210901,12684
0500000US06101,6101,"Sutter County, California",2009,91283,1279,55786,4055,35497,4073
0500000US06107,6107,"Tulare County, California",2009,425487,1330,240402,9642,185085,9782
0500000US06111,6111,"Ventura County, California",2009,794761,2871,512369,14108,282392,13816
0500000US06113,6113,"Yolo County, California",2009,192263,2767,110483,5957,81780,6624
0500000US06115,6115,"Yuba County, California",2009,70866,2804,40706,4119,30160,4163
0500000US06001,6001,"Alameda County, California",2010,1485603,7507,843367,18686,642236,18310
0500000US06007,6007,"Butte County, California",2010,213700,2460,128090,6138,85610,6398
0500000US06013,6013,"Contra Costa County, California",2010,1042069,5229,694686,16481,347383,16773
