GeoID,Date,Median gross rent as a percentage of household income
6081,31/12/2009,30.4000
6083,31/12/2009,34.6000
6085,31/12/2009,28.2000
6087,31/12/2009,35.0000
6089,31/12/2009,34.0000
6095,31/12/2009,33.5000
6097,31/12/2009,31.4000
6099,31/12/2009,34.0000
6101,31/12/2009,29.0000
6107,31/12/2009,32.4000
6111,31/12/2009,34.5000
6113,31/12/2009,33.9000
6115,31/12/2009,36.1000
6001,31/12/2008,31.3000
6007,31/12/2008,37.7000
6013,31/12/2008,33.5000
6017,31/12/2008,29.8000
6019,31/12/2008,33.8000
6023,31/12/2008,34.7000
6025,31/12/2008,31.6000
6029,31/12/2008,34.3000
6031,31/12/2008,27.5000
6033,31/12/2008,35.8000
6037,31/12/2008,33.6000
6039,31/12/2008,32.2000
6041,31/12/2008,32.2000
6045,31/12/2008,39.1000
6047,31/12/2008,33.4000
6053,31/12/2008,28.9000
6055,31/12/2008,32.6000
6057,31/12/2008,35.3000
6059,31/12/2008,32.6000
6061,31/12/2008,30.9000
6065,31/12/2008,36.6000
6067,31/12/2008,31.1000
6071,31/12/2008,34.6000
6073,31/12/2008,32.7000
6075,31/12/2008,27.0000
6077,31/12/2008,33.7000
6079,31/12/2008,33.7000
6081,31/12/2008,28.7000
6083,31/12/2008,34.8000
6085,31/12/2008,27.5000
6087,31/12/2008,33.2000
6089,31/12/2008,35.3000
6095,31/12/2008,31.1000
6097,31/12/2008,32.5000
6099,31/12/2008,33.3000
6101,31/12/2008,34.0000
6107,31/12/2008,30.6000
6111,31/12/2008,32.4000
6113,31/12/2008,31.6000
6115,31/12/2008,29.2000
6001,31/12/2007,30.4000
6007,31/12/2007,37.5000
6013,31/12/2007,32.5000
6017,31/12/2007,29.1000
6019,31/12/2007,32.4000
6023,31/12/2007,35.3000
6025,31/12/2007,31.5000
6029,31/12/2007,29.5000
6031,31/12/2007,28.5000
6033,31/12/2007,35.2000
6037,31/12/2007,32.9000
6039,31/12/2007,30.8000
6041,31/12/2007,33.1000
6045,31/12/2007,30.6000
6047,31/12/2007,33.9000
6053,31/12/2007,29.5000
6055,31/12/2007,30.9000
6057,31/12/2007,31.1000
6059,31/12/2007,32.5000
6061,31/12/2007,30.8000
6065,31/12/2007,33.1000
6067,31/12/2007,31.8000
6071,31/12/2007,32.3000
6073,31/12/2007,32.6000
6075,31/12/2007,26.9000
6077,31/12/2007,33.3000
6079,31/12/2007,35.6000
6081,31/12/2007,28.4000
6083,31/12/2007,36.0000
6085,31/12/2007,28.6000
6087,31/12/2007,32.7000
6089,31/12/2007,31.0000
6095,31/12/2007,34.4000
6097,31/12/2007,31.2000
6099,31/12/2007,33.6000
6101,31/12/2007,28.9000
6107,31/12/2007,29.8000
6111,31/12/2007,32.1000
6113,31/12/2007,32.2000
6115,31/12/2007,32.3000
6001,31/12/2006,31.7000
6007,31/12/2006,34.4000
6013,31/12/2006,33.2000
6017,31/12/2006,33.3000
6019,31/12/2006,32.2000
6023,31/12/2006,33.6000
6025,31/12/2006,32.1000
6029,31/12/2006,30.5000
6031,31/12/2006,30.8000
6033,31/12/2006,38.6000
6037,31/12/2006,33.2000
6039,31/12/2006,34.2000
6041,31/12/2006,34.7000
6045,31/12/2006,33.5000
6047,31/12/2006,32.9000
6053,31/12/2006,31.6000
6055,31/12/2006,29.8000
6057,31/12/2006,34.8000
6059,31/12/2006,32.5000
6061,31/12/2006,31.5000
6065,31/12/2006,34.9000
6067,31/12/2006,33.4000
6071,31/12/2006,33.7000
6073,31/12/2006,32.8000
6075,31/12/2006,27.1000
6077,31/12/2006,33.5000
6079,31/12/2006,35.3000
6081,31/12/2006,28.5000
6083,31/12/2006,36.0000
6085,31/12/2006,28.0000
6087,31/12/2006,36.3000
6089,31/12/2006,34.7000
6095,31/12/2006,33.8000
6097,31/12/2006,35.0000
6099,31/12/2006,34.1000
6101,31/12/2006,31.8000
6107,31/12/2006,28.7000
6111,31/12/2006,31.9000
6113,31/12/2006,33.4000
6115,31/12/2006,34.0000
6001,31/12/2005,30.3000
6007,31/12/2005,38.0000
6013,31/12/2005,32.7000
6017,31/12/2005,33.6000
6019,31/12/2005,32.0000
6023,31/12/2005,36.0000
6025,31/12/2005,32.0000
6029,31/12/2005,30.1000
6031,31/12/2005,30.9000
6033,31/12/2005,33.1000
6037,31/12/2005,33.2000
6039,31/12/2005,25.8000
6041,31/12/2005,32.0000
6045,31/12/2005,33.4000
6047,31/12/2005,34.5000
6053,31/12/2005,31.1000
6055,31/12/2005,26.2000
6057,31/12/2005,29.4000
6059,31/12/2005,32.5000
6061,31/12/2005,29.9000
6065,31/12/2005,34.4000
6067,31/12/2005,32.1000
6071,31/12/2005,34.6000
6073,31/12/2005,33.5000
6075,31/12/2005,28.2000
6077,31/12/2005,34.3000
6079,31/12/2005,34.9000
6081,31/12/2005,29.8000
6083,31/12/2005,35.0000
6085,31/12/2005,28.9000
6087,31/12/2005,33.0000
6089,31/12/2005,32.1000
6095,31/12/2005,34.6000
6097,31/12/2005,32.5000
6099,31/12/2005,33.5000
6101,31/12/2005,29.0000
6107,31/12/2005,28.7000
6111,31/12/2005,32.3000
6113,31/12/2005,34.9000
6115,31/12/2005,31.9000
