GeoID,Date,Total: - Less than 10.0 percent,Total: - 10.0 to 14.9 percent,Total: - 15.0 to 19.9 percent,Total: - 20.0 to 24.9 percent,Total: - 25.0 to 29.9 percent,Total: - 30.0 to 34.9 percent,Total: - 35.0 to 39.9 percent,Total: - 40.0 to 49.9 percent,Total: - 50.0 percent or more,Total: - Not computed
6001,12/31/2011,0.0202,0.0646,0.1202,0.1249,0.1143,0.0886,0.0659,0.0816,0.2666,0.0531
6007,12/31/2011,0.0183,0.0366,0.0662,0.1179,0.1077,0.0914,0.0676,0.0693,0.3355,0.0895
6013,12/31/2011,0.0223,0.0588,0.0977,0.1219,0.1094,0.0898,0.0668,0.1119,0.2760,0.0454
6017,12/31/2011,0.0262,0.0757,0.0868,0.1288,0.1230,0.0932,0.0768,0.0766,0.2105,0.1024
6019,12/31/2011,0.0235,0.0502,0.1012,0.1077,0.1048,0.0948,0.0591,0.0993,0.2954,0.0642
6023,12/31/2011,0.0130,0.0772,0.0865,0.1031,0.0905,0.0666,0.0461,0.0919,0.3511,0.0741
6025,12/31/2011,0.0328,0.0411,0.0783,0.0810,0.1194,0.0915,0.0699,0.1178,0.2967,0.0715
6029,12/31/2011,0.0342,0.0691,0.1175,0.1015,0.1025,0.0921,0.0617,0.0938,0.2610,0.0665
6031,12/31/2011,0.0474,0.0246,0.0961,0.1074,0.1357,0.0907,0.0701,0.0886,0.2376,0.1017
6033,12/31/2011,0.0179,0.0451,0.0723,0.0927,0.0943,0.1187,0.0318,0.0829,0.3629,0.0813
6037,12/31/2011,0.0205,0.0546,0.0885,0.1057,0.1083,0.0838,0.0722,0.0993,0.3187,0.0485
6039,12/31/2011,0.0368,0.0803,0.1556,0.1501,0.0815,0.0416,0.0525,0.0928,0.1730,0.1357
6041,12/31/2011,0.0299,0.0400,0.0945,0.1172,0.0891,0.1282,0.0767,0.0839,0.2984,0.0421
6045,12/31/2011,0.0245,0.0535,0.1249,0.0809,0.1063,0.0579,0.0603,0.1159,0.2693,0.1064
6047,12/31/2011,0.0129,0.0537,0.1145,0.0892,0.1194,0.0624,0.0771,0.1208,0.2606,0.0893
6053,12/31/2011,0.0116,0.0484,0.0781,0.1338,0.0943,0.1156,0.0960,0.1010,0.2587,0.0624
6055,12/31/2011,0.0331,0.0339,0.1124,0.0784,0.0913,0.1256,0.0452,0.1086,0.3025,0.0690
6057,12/31/2011,0.0394,0.0266,0.1280,0.0289,0.1182,0.0369,0.1151,0.1019,0.3306,0.0744
6059,12/31/2011,0.0206,0.0528,0.1039,0.1186,0.1134,0.0957,0.0680,0.1031,0.2813,0.0426
6061,12/31/2011,0.0181,0.0633,0.1221,0.1091,0.0893,0.0825,0.0799,0.1062,0.2822,0.0473
6065,12/31/2011,0.0115,0.0469,0.0868,0.1075,0.1044,0.0926,0.0676,0.1221,0.3036,0.0570
6067,12/31/2011,0.0318,0.0491,0.1166,0.1008,0.1088,0.0907,0.0634,0.0998,0.2856,0.0535
6071,12/31/2011,0.0189,0.0371,0.1036,0.0966,0.1107,0.0850,0.0834,0.0973,0.3116,0.0558
6073,12/31/2011,0.0155,0.0546,0.0886,0.1156,0.1101,0.0960,0.0694,0.1069,0.2759,0.0675
6075,12/31/2011,0.0537,0.0737,0.1415,0.1343,0.1176,0.0784,0.0558,0.0779,0.2169,0.0502
6077,12/31/2011,0.0253,0.0606,0.1004,0.1145,0.1072,0.0805,0.0520,0.1221,0.2878,0.0495
6079,12/31/2011,0.0177,0.0500,0.0883,0.0872,0.1060,0.0673,0.0690,0.0890,0.3228,0.1026
6081,12/31/2011,0.0378,0.0659,0.0983,0.1271,0.1228,0.0894,0.0800,0.1016,0.2328,0.0444
6083,12/31/2011,0.0335,0.0481,0.0822,0.1115,0.1316,0.0961,0.0727,0.0965,0.2738,0.0541
6085,12/31/2011,0.0335,0.0906,0.1392,0.1205,0.1308,0.0712,0.0591,0.0846,0.2321,0.0384
6087,12/31/2011,0.0233,0.0446,0.0691,0.0886,0.1305,0.1083,0.0696,0.1153,0.3276,0.0231
6089,12/31/2011,0.0109,0.0440,0.0426,0.0987,0.0813,0.0757,0.0953,0.1241,0.3367,0.0906
6095,12/31/2011,0.0077,0.0514,0.1137,0.1390,0.1244,0.0822,0.0641,0.0703,0.2926,0.0545
6097,12/31/2011,0.0181,0.0494,0.0876,0.1115,0.1368,0.0865,0.0724,0.1257,0.2556,0.0564
6099,12/31/2011,0.0147,0.0468,0.0907,0.1087,0.0972,0.0837,0.0831,0.0988,0.3102,0.0660
6101,12/31/2011,0.0189,0.0545,0.1038,0.1213,0.0648,0.1105,0.1030,0.0842,0.2317,0.1074
6107,12/31/2011,0.0269,0.0593,0.0993,0.1212,0.0983,0.1170,0.0517,0.1056,0.2465,0.0742
6111,12/31/2011,0.0108,0.0553,0.0841,0.1470,0.1174,0.1028,0.0703,0.0945,0.2823,0.0355
6113,12/31/2011,0.0128,0.0492,0.0834,0.0995,0.0774,0.0952,0.0939,0.0989,0.3373,0.0523
6115,12/31/2011,0.0332,0.1420,0.0802,0.1169,0.1178,0.0651,0.0471,0.0925,0.2063,0.0988
6001,12/31/2010,0.0260,0.0711,0.1172,0.1146,0.1141,0.0900,0.0686,0.0823,0.2722,0.0438
6007,12/31/2010,0.0173,0.0387,0.0864,0.1386,0.0903,0.1238,0.0612,0.1216,0.2700,0.0521
6013,12/31/2010,0.0182,0.0571,0.0965,0.1207,0.1368,0.0817,0.0795,0.0936,0.2687,0.0472
6017,12/31/2010,0.0261,0.0576,0.0656,0.0816,0.1278,0.1034,0.0574,0.0764,0.3332,0.0709
6019,12/31/2010,0.0322,0.0642,0.1053,0.1119,0.0884,0.0710,0.0581,0.0789,0.3258,0.0640
6023,12/31/2010,0.0202,0.0546,0.0775,0.0859,0.0990,0.1180,0.0743,0.1175,0.2969,0.0562
6025,12/31/2010,0.0436,0.0463,0.1134,0.0982,0.1408,0.0665,0.0701,0.0710,0.2756,0.0746
6029,12/31/2010,0.0265,0.0736,0.0946,0.1082,0.0982,0.0907,0.0739,0.0782,0.2867,0.0695
6031,12/31/2010,0.0202,0.0908,0.0705,0.1523,0.1081,0.0947,0.0627,0.0545,0.2349,0.1114
6033,12/31/2010,0.0329,0.0220,0.0641,0.0760,0.0810,0.1038,0.0965,0.1119,0.3499,0.0619
6037,12/31/2010,0.0210,0.0566,0.0984,0.1038,0.1096,0.0853,0.0760,0.1005,0.3022,0.0468
6039,12/31/2010,0.0301,0.1292,0.1215,0.1114,0.0673,0.0629,0.0495,0.0912,0.2393,0.0975
6041,12/31/2010,0.0601,0.0560,0.0971,0.0914,0.0874,0.0775,0.1107,0.0777,0.3075,0.0346
6045,12/31/2010,0.0202,0.0669,0.0820,0.0829,0.1164,0.0803,0.0690,0.1471,0.2442,0.0909
6047,12/31/2010,0.0197,0.0812,0.0847,0.1108,0.1163,0.0867,0.0435,0.1035,0.2724,0.0812
6053,12/31/2010,0.0179,0.0533,0.1058,0.1129,0.1183,0.1032,0.0790,0.1116,0.2610,0.0370
6055,12/31/2010,0.0233,0.0470,0.1052,0.1151,0.1427,0.0987,0.0582,0.0753,0.3001,0.0345
6057,12/31/2010,0.0111,0.0294,0.0983,0.0834,0.0762,0.0883,0.0818,0.1860,0.2483,0.0973
6059,12/31/2010,0.0193,0.0532,0.0950,0.1189,0.1148,0.1059,0.0740,0.0971,0.2832,0.0385
6061,12/31/2010,0.0299,0.0796,0.0825,0.1381,0.1015,0.0991,0.0496,0.1091,0.2467,0.0638
6065,12/31/2010,0.0187,0.0472,0.0913,0.1037,0.0959,0.0885,0.0811,0.1095,0.3217,0.0424
6067,12/31/2010,0.0241,0.0416,0.1112,0.1056,0.1134,0.0933,0.0762,0.1004,0.2930,0.0413
6071,12/31/2010,0.0184,0.0540,0.0984,0.1084,0.0945,0.0898,0.0818,0.1202,0.2893,0.0453
6073,12/31/2010,0.0176,0.0497,0.0917,0.1194,0.1131,0.0916,0.0741,0.1080,0.2841,0.0507
6075,12/31/2010,0.0398,0.1214,0.1234,0.1180,0.1088,0.0921,0.0530,0.0775,0.2166,0.0493
