GeoID,Date,"Car, truck, or van:","Car, truck, or van: - Drove alone","Car, truck, or van: - Carpooled:","Car, truck, or van: - Carpooled: - In 2-person carpool","Car, truck, or van: - Carpooled: - In 3-person carpool","Car, truck, or van: - Carpooled: - In 4-person carpool","Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Public transportation (excluding taxicab):,Public transportation (excluding taxicab): - Bus or trolley bus,Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Public transportation (excluding taxicab): - Subway or elevated,Public transportation (excluding taxicab): - Railroad,Public transportation (excluding taxicab): - Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
6107,31/12/2007,0.9262,0.7506,0.1756,0.0954,0.0405,0.0221,0.0150,0.0026,0.0043,0.0043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0041,0.0024,0.0172,0.0134,0.0324
6111,31/12/2007,0.8963,0.7760,0.1203,0.0874,0.0189,0.0054,0.0064,0.0022,0.0108,0.0101,0.0000,0.0006,0.0001,0.0000,0.0000,0.0033,0.0068,0.0209,0.0083,0.0537
6113,31/12/2007,0.8279,0.7315,0.0965,0.0774,0.0122,0.0044,0.0015,0.0010,0.0308,0.0273,0.0005,0.0000,0.0030,0.0000,0.0027,0.0041,0.0633,0.0356,0.0059,0.0297
6001,31/12/2008,0.8132,0.7126,0.1006,0.0794,0.0109,0.0064,0.0019,0.0019,0.0721,0.0362,0.0014,0.0308,0.0035,0.0002,0.0003,0.0025,0.0136,0.0359,0.0154,0.0470
6007,31/12/2008,0.8640,0.7462,0.1178,0.1050,0.0099,0.0010,0.0000,0.0019,0.0113,0.0113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0043,0.0329,0.0383,0.0040,0.0452
6013,31/12/2008,0.8682,0.7601,0.1081,0.0866,0.0132,0.0054,0.0014,0.0014,0.0334,0.0166,0.0010,0.0140,0.0018,0.0000,0.0000,0.0026,0.0062,0.0211,0.0070,0.0615
6017,31/12/2008,0.8556,0.7621,0.0935,0.0774,0.0088,0.0008,0.0014,0.0051,0.0066,0.0056,0.0000,0.0010,0.0000,0.0000,0.0000,0.0064,0.0144,0.0202,0.0043,0.0924
6019,31/12/2008,0.9008,0.7717,0.1291,0.0853,0.0150,0.0090,0.0041,0.0157,0.0143,0.0141,0.0000,0.0000,0.0002,0.0000,0.0000,0.0051,0.0049,0.0162,0.0250,0.0338
6023,31/12/2008,0.8263,0.6966,0.1297,0.0908,0.0243,0.0036,0.0035,0.0075,0.0107,0.0107,0.0000,0.0000,0.0000,0.0000,0.0021,0.0019,0.0404,0.0391,0.0091,0.0704
6025,31/12/2008,0.8828,0.7505,0.1323,0.0849,0.0356,0.0039,0.0017,0.0062,0.0069,0.0069,0.0000,0.0000,0.0000,0.0000,0.0037,0.0056,0.0003,0.0561,0.0070,0.0376
6029,31/12/2008,0.9324,0.7603,0.1721,0.1113,0.0298,0.0158,0.0073,0.0078,0.0089,0.0078,0.0007,0.0004,0.0000,0.0000,0.0010,0.0024,0.0026,0.0152,0.0115,0.0260
6031,31/12/2008,0.8680,0.7272,0.1408,0.0784,0.0160,0.0124,0.0184,0.0157,0.0286,0.0273,0.0000,0.0000,0.0012,0.0000,0.0000,0.0072,0.0141,0.0311,0.0180,0.0332
6037,31/12/2008,0.8345,0.7176,0.1169,0.0910,0.0156,0.0052,0.0025,0.0025,0.0730,0.0642,0.0004,0.0038,0.0046,0.0001,0.0005,0.0031,0.0073,0.0278,0.0109,0.0430
6039,31/12/2008,0.8928,0.7336,0.1592,0.0939,0.0177,0.0183,0.0226,0.0067,0.0016,0.0016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0019,0.0021,0.0296,0.0135,0.0585
6041,31/12/2008,0.8423,0.7346,0.1077,0.0816,0.0126,0.0035,0.0036,0.0064,0.0295,0.0283,0.0000,0.0006,0.0000,0.0006,0.0007,0.0045,0.0119,0.0234,0.0023,0.0854
6047,31/12/2008,0.8619,0.7540,0.1080,0.0658,0.0227,0.0140,0.0027,0.0027,0.0055,0.0048,0.0000,0.0000,0.0007,0.0000,0.0000,0.0048,0.0076,0.0339,0.0380,0.0482
6053,31/12/2008,0.8326,0.6912,0.1414,0.1038,0.0228,0.0087,0.0036,0.0025,0.0308,0.0301,0.0007,0.0000,0.0000,0.0000,0.0004,0.0025,0.0128,0.0373,0.0355,0.0482
