GeoID,Date,Quintile Means: - Lowest Quintile,Quintile Means: - Second Quintile,Quintile Means: - Third Quintile,Quintile Means: - Fourth Quintile,Quintile Means: - Highest Quintile,Top 5 Percent
6107,12/31/2012,10219,23808,40120,64050,137880,219773
6107,12/31/2011,11252,25638,41282,66343,137191,220575
6107,12/31/2010,10674,25558,43296,67774,140875,230526
6107,12/31/2009,10951,26217,40896,65121,139155,232215
6107,12/31/2008,11351,27006,45230,69944,133836,200887
6107,12/31/2007,10702,25194,40279,64570,136090,225516
6107,12/31/2006,10697,24649,42008,65919,138228,233356
6111,12/31/2013,18521,46666,77781,118944,244598,407607
6111,12/31/2012,18152,44336,71804,108941,227634,385500
6111,12/31/2011,16792,43707,74679,113436,220299,357223
6111,12/31/2010,17434,43356,72093,109954,223612,367150
6111,12/31/2009,17223,43735,71705,108119,214779,349837
6111,12/31/2008,18578,47405,76972,114851,229376,395482
6111,12/31/2007,18864,44746,73350,108436,219454,372942
6111,12/31/2006,17931,44688,72341,106653,215241,366370
6113,12/31/2013,9544,30858,55196,87419,188090,304706
6113,12/31/2012,11494,30281,51576,88946,188370,321595
6113,12/31/2011,10891,27921,50915,89433,192750,314535
6113,12/31/2010,12038,31885,56040,88508,185401,308118
6113,12/31/2009,12023,33258,57953,91213,175420,278490
6113,12/31/2008,13253,34401,58833,92059,182831,295149
6113,12/31/2007,13127,34010,59051,93474,186179,305276
6113,12/31/2006,10339,31089,52126,85766,162453,250929
6115,12/31/2013,11914,25773,43191,63799,110195,159312
6115,12/31/2012,11628,26693,44723,69644,124512,187216
6115,12/31/2011,11666,28019,43825,65875,114144,174814
6115,12/31/2010,11583,29235,45932,67532,126096,193563
6115,12/31/2009,12580,26736,43773,66578,133559,211647
6115,12/31/2008,14306,28739,51179,76601,146713,231274
6115,12/31/2007,11691,26667,43475,69052,133977,197964
6115,12/31/2006,9844,22695,37826,61981,116180,173826
