GeoID,Date,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
6045,12/31/2013,33609,1411,2847,858,3175,885,3332,1011,1523,734,2400,929,1744,584,1076,598,2006,824,868,461,2986,822,3460,832,2750,729,1777,653,2072,829,738,368,855,450
6047,12/31/2005,71613,1242,5809,1071,4982,1100,5113,1198,5879,1221,4200,1029,5166,1200,4429,1118,3238,936,4259,1000,6419,1155,7107,1179,6527,1194,3534,794,1789,734,2059,710,1103,472
6047,12/31/2006,72180,1892,5959,1218,5076,1162,7128,1433,5938,1284,3774,1006,4004,1051,3867,1096,2874,791,3130,895,7467,1424,6758,1522,8004,1251,4382,1083,1209,484,1529,614,1081,392
6047,12/31/2007,73482,1809,5876,1418,4842,1236,5184,1262,5093,1343,5329,1088,3562,938,2760,917,4685,1145,4112,1002,6638,1400,6476,1419,7020,1295,5350,1126,3001,1148,1460,519,2094,662
6047,12/31/2008,72353,1721,7443,1233,4992,1003,4914,1267,5046,1130,3993,1008,4065,1183,3729,849,3636,996,3070,874,5370,1241,8137,1466,7790,1370,4551,915,2259,601,1642,613,1716,762
6047,12/31/2009,74166,2130,5628,1124,5967,1342,5793,1256,5566,1277,5642,1310,5023,1043,3911,880,3512,824,4074,1076,5302,1219,7439,1286,7051,1239,4729,975,1945,635,1617,637,967,425
6047,12/31/2010,73885,2088,6613,1264,6334,1369,4626,1119,5663,1285,3492,879,3854,1077,4524,1150,3756,1003,3768,1150,5786,1388,7468,1236,8144,1361,4179,1172,1318,484,1876,710,2484,872
6047,12/31/2011,74833,1512,5186,981,5954,1190,5858,1328,5228,1121,6475,1247,5283,1194,3381,796,3881,985,3781,865,5661,1036,6718,1208,6960,1223,4948,969,2345,905,1388,547,1786,728
6047,12/31/2012,76451,1882,7100,1311,4538,828,5270,1206,5946,1199,4574,1109,4718,1044,3477,701,3218,772,3230,858,7526,1467,7191,1233,7922,1300,4964,1050,2822,759,2220,980,1735,657
6047,12/31/2013,77651,1744,5420,994,5420,1064,5518,1128,6007,1007,5115,1188,5582,1418,5005,1359,4439,1194,3299,948,6768,1364,7677,1628,7306,1189,3746,880,2369,850,2609,804,1371,503
6053,12/31/2005,123630,2044,6516,1402,6935,1373,6273,1315,7163,1651,5022,1538,7808,1765,4117,867,5486,1273,4739,1057,11044,1841,14474,1823,17297,1889,11835,1675,5623,1087,5260,1101,4038,991
6053,12/31/2006,123600,2003,5215,1200,5327,1195,6138,1343,5067,1134,6935,1466,7213,1247,8056,1448,6335,1258,6284,1212,9684,1534,11872,1512,18517,1896,10485,1429,5633,1133,5296,1023,5543,1016
6053,12/31/2007,126010,2195,5869,1435,6416,1321,4451,888,6773,1393,5505,1108,6659,1288,6351,1363,5858,1145,6814,1234,10907,1703,13592,2091,17303,1886,10959,1570,6039,1018,6839,1385,5675,953
6053,12/31/2008,126066,2621,4737,1107,6313,1502,5087,1007,6454,1326,6953,1460,5506,1237,4841,1110,5287,1416,5663,1366,12868,1740,14424,1739,17722,1936,11123,1716,7391,1487,6302,1079,5395,982
6053,12/31/2009,128025,2031,6603,1459,6426,1293,6726,1361,8130,1587,6525,1314,5062,1168,5804,1297,5609,1380,5076,961,10197,1723,13402,1614,16391,1885,12142,1770,7095,1105,6555,1036,6282,855
6053,12/31/2010,125446,2406,5860,1347,5098,1088,7717,1524,6947,1285,6085,1204,6209,1202,5395,1101,7147,1514,6703,1370,11434,1721,12888,1722,14969,1785,10719,1496,6168,1247,4884,931,7223,1136
6053,12/31/2011,123757,2994,6902,1280,5417,1178,6269,1081,7018,1232,6189,1146,7758,1385,6740,1429,5970,1082,5523,1082,10754,1415,12357,1630,14893,1816,9553,1396,6497,1254,6542,1186,5375,976
6053,12/31/2012,124171,1866,4533,997,6367,1181,7176,1170,6046,1272,5169,1019,6950,1103,5965,992,4440,1012,6580,1123,10012,1525,15049,1539,15346,1693,11449,1476,5693,1070,7407,1254,5989,1013
6053,12/31/2013,125553,1864,7723,1511,5117,980,5029,1140,6662,1272,6273,1180,6713,1114,6358,1183,6183,1311,5630,1281,9820,1578,11765,1612,17219,1836,11171,1763,6308,1112,6785,1168,6797,1349
6055,12/31/2005,48202,932,1861,588,1547,639,2521,968,1734,559,1929,803,2198,745,2664,1042,2001,622,1922,636,3139,1021,7058,1489,6027,1095,5738,1364,2712,959,2274,705,2877,932
6055,12/31/2006,47854,1272,3288,940,2752,715,1438,548,1654,600,2098,713,1969,684,2006,696,2141,746,935,525,2942,675,6118,1438,7754,1252,4138,833,3173,911,2781,928,2667,712
6055,12/31/2007,49069,1118,1343,559,1930,890,2260,767,3147,913,1344,490,2654,800,3254,1002,2479,902,1530,587,3477,793,5454,1168,5359,984,6039,1050,2054,550,3239,871,3506,882
6055,12/31/2008,46333,1806,1320,499,2076,690,1550,632,2958,976,1904,698,2188,955,2436,927,1433,603,1739,889,3471,812,4629,1095,5995,1321,5113,1045,2847,739,3128,901,3546,826
