GeoID,Date,With a mortgage:,With a mortgage: - Less than 2.0,With a mortgage: - 2.0 to 2.9,With a mortgage: - 3.0 to 3.9,With a mortgage: - 4.0 or more,With a mortgage: - Not computed,Not mortgaged:,Not mortgaged: - Less than 2.0,Not mortgaged: - 2.0 to 2.9,Not mortgaged: - 3.0 to 3.9,Not mortgaged: - 4.0 or more,Not mortgaged: - Not computed
6047,31/12/2008,0.7263,0.1023,0.1766,0.1213,0.3227,0.0034,0.2737,0.0730,0.0294,0.0284,0.1396,0.0033
6053,31/12/2008,0.7232,0.0482,0.0655,0.1016,0.5067,0.0011,0.2768,0.0392,0.0166,0.0109,0.2058,0.0042
6055,31/12/2008,0.6903,0.0314,0.0514,0.1018,0.5037,0.0020,0.3097,0.0547,0.0233,0.0135,0.2125,0.0057
6057,31/12/2008,0.6474,0.0231,0.0468,0.0873,0.4795,0.0107,0.3526,0.0452,0.0279,0.0170,0.2586,0.0038
6059,31/12/2008,0.7796,0.0381,0.0733,0.1093,0.5550,0.0039,0.2204,0.0269,0.0147,0.0142,0.1618,0.0028
6061,31/12/2008,0.7535,0.0584,0.1459,0.1556,0.3905,0.0030,0.2465,0.0234,0.0190,0.0228,0.1777,0.0035
6065,31/12/2008,0.7667,0.0818,0.1371,0.1510,0.3914,0.0055,0.2333,0.0553,0.0244,0.0213,0.1283,0.0040
6067,31/12/2008,0.7897,0.0925,0.1762,0.1795,0.3393,0.0020,0.2103,0.0382,0.0228,0.0250,0.1238,0.0006
6071,31/12/2008,0.7890,0.0870,0.1380,0.1428,0.4158,0.0055,0.2110,0.0481,0.0228,0.0221,0.1154,0.0026
6073,31/12/2008,0.7707,0.0461,0.0913,0.1363,0.4934,0.0037,0.2293,0.0292,0.0147,0.0198,0.1619,0.0036
6075,31/12/2008,0.7515,0.0342,0.0588,0.1041,0.5512,0.0032,0.2485,0.0089,0.0119,0.0133,0.2116,0.0027
6077,31/12/2008,0.7683,0.1007,0.1657,0.1509,0.3478,0.0032,0.2317,0.0479,0.0248,0.0279,0.1273,0.0038
6079,31/12/2008,0.7040,0.0254,0.0520,0.1010,0.5222,0.0035,0.2960,0.0216,0.0187,0.0279,0.2278,0.0000
6081,31/12/2008,0.7450,0.0315,0.0443,0.0796,0.5866,0.0030,0.2550,0.0159,0.0100,0.0126,0.2143,0.0024
6083,31/12/2008,0.7122,0.0386,0.0854,0.0900,0.4973,0.0008,0.2878,0.0249,0.0150,0.0247,0.2214,0.0019
6085,31/12/2008,0.7738,0.0369,0.0599,0.1040,0.5693,0.0037,0.2262,0.0250,0.0141,0.0121,0.1731,0.0019
6087,31/12/2008,0.7484,0.0322,0.0415,0.0789,0.5883,0.0075,0.2516,0.0222,0.0133,0.0149,0.1984,0.0029
6089,31/12/2008,0.6546,0.0542,0.1055,0.1355,0.3467,0.0126,0.3454,0.0542,0.0332,0.0424,0.2122,0.0034
6095,31/12/2008,0.7969,0.0659,0.1740,0.1652,0.3893,0.0025,0.2031,0.0316,0.0149,0.0189,0.1377,0.0000
6097,31/12/2008,0.7393,0.0390,0.0767,0.1112,0.5084,0.0040,0.2607,0.0360,0.0192,0.0158,0.1887,0.0011
6099,31/12/2008,0.7519,0.1150,0.1566,0.1491,0.3272,0.0039,0.2481,0.0628,0.0263,0.0272,0.1303,0.0015
6101,31/12/2008,0.7539,0.1195,0.1966,0.1301,0.3077,0.0000,0.2461,0.0553,0.0426,0.0273,0.1123,0.0087
6107,31/12/2008,0.7298,0.1189,0.1748,0.1360,0.2928,0.0073,0.2702,0.0673,0.0357,0.0326,0.1338,0.0008
6111,31/12/2008,0.7900,0.0466,0.0751,0.1356,0.5302,0.0025,0.2100,0.0196,0.0188,0.0171,0.1513,0.0031
6113,31/12/2008,0.7493,0.0608,0.1297,0.1387,0.4200,0.0000,0.2507,0.0647,0.0169,0.0184,0.1507,0.0000
6115,31/12/2008,0.7590,0.1137,0.2387,0.1296,0.2770,0.0000,0.2410,0.0752,0.0348,0.0284,0.1026,0.0000
6001,31/12/2009,0.7780,0.0564,0.1266,0.1460,0.4469,0.0022,0.2220,0.0204,0.0184,0.0203,0.1607,0.0022
6007,31/12/2009,0.6450,0.0915,0.1178,0.1331,0.2999,0.0026,0.3550,0.1015,0.0336,0.0302,0.1861,0.0036
6013,31/12/2009,0.7785,0.1008,0.1512,0.1437,0.3814,0.0014,0.2215,0.0282,0.0216,0.0252,0.1458,0.0007
6017,31/12/2009,0.7471,0.0775,0.1374,0.1360,0.3955,0.0008,0.2529,0.0384,0.0313,0.0223,0.1596,0.0013
6019,31/12/2009,0.7464,0.1677,0.1964,0.1420,0.2384,0.0020,0.2536,0.0606,0.0433,0.0239,0.1246,0.0012
6023,31/12/2009,0.5994,0.0341,0.0756,0.1198,0.3594,0.0106,0.4006,0.0796,0.0281,0.0301,0.2609,0.0019
6025,31/12/2009,0.6805,0.2357,0.1980,0.1025,0.1443,0.0000,0.3195,0.1108,0.0307,0.0449,0.1265,0.0066
