GeoID,Date,Worked in state of residence:,Worked in state of residence: - Worked in county of residence,Worked in state of residence: - Worked outside county of residence,Worked outside state of residence,"Car, truck, or van - drove alone:","Car, truck, or van - drove alone: - Worked in state of residence:","Car, truck, or van - drove alone: - Worked in state of residence: - Worked in county of residence","Car, truck, or van - drove alone: - Worked in state of residence: - Worked outside county of residence","Car, truck, or van - drove alone: - Worked outside state of residence","Car, truck, or van - carpooled:","Car, truck, or van - carpooled: - Worked in state of residence:","Car, truck, or van - carpooled: - Worked in state of residence: - Worked in county of residence","Car, truck, or van - carpooled: - Worked in state of residence: - Worked outside county of residence","Car, truck, or van - carpooled: - Worked outside state of residence",Public transportation (excluding taxicab):,Public transportation (excluding taxicab): - Worked in state of residence:,Public transportation (excluding taxicab): - Worked in state of residence: - Worked in county of residence,Public transportation (excluding taxicab): - Worked in state of residence: - Worked outside county of residence,Public transportation (excluding taxicab): - Worked outside state of residence,Walked:,Walked: - Worked in state of residence:,Walked: - Worked in state of residence: - Worked in county of residence,Walked: - Worked in state of residence: - Worked outside county of residence,Walked: - Worked outside state of residence,"Taxicab, motorcycle, bicycle, or other means:","Taxicab, motorcycle, bicycle, or other means: - Worked in state of residence:","Taxicab, motorcycle, bicycle, or other means: - Worked in state of residence: - Worked in county of residence","Taxicab, motorcycle, bicycle, or other means: - Worked in state of residence: - Worked outside county of residence","Taxicab, motorcycle, bicycle, or other means: - Worked outside state of residence",Worked at home
6001,12/31/2006,0.9960,0.6849,0.3110,0.0040,0.6624,0.6602,0.4646,0.1956,0.0022,0.1061,0.1060,0.0605,0.0454,0.0001,0.1115,0.1111,0.0477,0.0635,0.0004,0.0353,0.0353,0.0341,0.0012,0.0001,0.0331,0.0318,0.0265,0.0053,0.0013,0.0516
6007,12/31/2006,0.9979,0.9075,0.0904,0.0021,0.7664,0.7652,0.7001,0.0651,0.0012,0.1015,0.1014,0.0807,0.0207,0.0001,0.0200,0.0200,0.0200,0.0000,0.0000,0.0350,0.0350,0.0335,0.0015,0.0000,0.0269,0.0261,0.0231,0.0031,0.0008,0.0502
6013,12/31/2006,0.9941,0.6002,0.3938,0.0059,0.7054,0.7020,0.4460,0.2559,0.0035,0.1172,0.1163,0.0581,0.0582,0.0009,0.0907,0.0906,0.0185,0.0721,0.0002,0.0166,0.0160,0.0148,0.0012,0.0007,0.0177,0.0169,0.0104,0.0065,0.0008,0.0523
6017,12/31/2006,0.9365,0.5447,0.3918,0.0635,0.7550,0.7140,0.3905,0.3235,0.0411,0.1215,0.1142,0.0638,0.0504,0.0073,0.0117,0.0101,0.0046,0.0055,0.0016,0.0255,0.0155,0.0123,0.0032,0.0100,0.0203,0.0168,0.0076,0.0092,0.0035,0.0660
6019,12/31/2006,0.9974,0.9174,0.0800,0.0026,0.7598,0.7578,0.6966,0.0612,0.0020,0.1423,0.1420,0.1257,0.0164,0.0003,0.0154,0.0154,0.0145,0.0009,0.0000,0.0204,0.0201,0.0197,0.0004,0.0003,0.0293,0.0293,0.0282,0.0011,0.0000,0.0328
6023,12/31/2006,0.9965,0.9815,0.0150,0.0035,0.7373,0.7348,0.7242,0.0106,0.0025,0.1145,0.1145,0.1128,0.0017,0.0000,0.0046,0.0042,0.0042,0.0000,0.0004,0.0584,0.0584,0.0557,0.0027,0.0000,0.0210,0.0204,0.0204,0.0000,0.0005,0.0642
6025,12/31/2006,0.9782,0.9368,0.0414,0.0218,0.8250,0.8066,0.7720,0.0345,0.0184,0.0896,0.0862,0.0794,0.0069,0.0033,0.0040,0.0040,0.0040,0.0000,0.0000,0.0216,0.0216,0.0216,0.0000,0.0000,0.0106,0.0106,0.0106,0.0000,0.0000,0.0492
6029,12/31/2006,0.9971,0.9234,0.0737,0.0029,0.7272,0.7248,0.6734,0.0515,0.0024,0.1921,0.1920,0.1733,0.0186,0.0001,0.0114,0.0114,0.0107,0.0007,0.0000,0.0126,0.0126,0.0124,0.0002,0.0000,0.0289,0.0285,0.0259,0.0027,0.0004,0.0278
6031,12/31/2006,0.9930,0.7860,0.2069,0.0070,0.7198,0.7176,0.5711,0.1465,0.0022,0.1966,0.1917,0.1321,0.0596,0.0049,0.0134,0.0134,0.0134,0.0000,0.0000,0.0211,0.0211,0.0211,0.0000,0.0000,0.0130,0.0130,0.0122,0.0008,0.0000,0.0362
6037,12/31/2006,0.9961,0.9201,0.0759,0.0039,0.7199,0.7179,0.6558,0.0621,0.0019,0.1194,0.1188,0.1076,0.0112,0.0006,0.0702,0.0700,0.0690,0.0010,0.0002,0.0283,0.0280,0.0276,0.0004,0.0003,0.0202,0.0193,0.0180,0.0013,0.0009,0.0420
