GeoID,Date,Estimate; Total:,Margin of Error; Total:,"Estimate; Housing units with a mortgage, contract to purchase, or similar debt:","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt:","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both:","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both:","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - No second mortgage and no home equity loan","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - No second mortgage and no home equity loan",Estimate; Housing units without a mortgage,Margin of Error; Housing units without a mortgage
6013,31/12/2008,253573,4209,198375,4449,72969,4002,19428,2351,53541,3226,4274,1025,121132,4209,55198,2946
6017,31/12/2008,46505,1804,34175,1929,12929,1587,2732,948,10197,1461,455,299,20791,1927,12330,1446
6019,31/12/2008,149799,4811,113955,3754,26328,2269,8778,1283,17550,1717,3430,1014,84197,3572,35844,2892
6023,31/12/2008,28623,1831,18574,1820,5966,953,1711,608,4255,775,18,31,12590,1639,10049,1118
6025,31/12/2008,25739,1837,16553,1967,2962,707,1456,532,1506,453,172,184,13419,1846,9186,1262
6029,31/12/2008,145468,4122,108875,3883,26055,2411,10192,1800,15863,1689,1142,580,81678,3808,36593,2435
6031,31/12/2008,22409,1676,16612,1820,4106,1071,1575,686,2531,751,488,526,12018,1526,5797,1084
6033,31/12/2008,15574,1835,9981,1466,2853,887,928,423,1925,798,359,618,6769,1251,5593,1159
6037,31/12/2008,1528562,13153,1178111,13787,352553,8163,100520,4873,252033,5902,24995,2866,800563,13070,350451,8218
6039,31/12/2008,24974,1866,18166,2005,3984,1111,1714,661,2270,830,191,141,13991,1780,6808,1002
6041,31/12/2008,66339,2622,50025,2776,19616,1810,3068,835,16548,1783,934,505,29475,2438,16314,1881
6045,31/12/2008,21170,1695,11401,1449,2198,592,560,370,1638,496,143,145,9060,1312,9769,1281
6047,31/12/2008,38502,2103,27964,1924,5865,956,2510,736,3355,616,782,563,21317,2055,10538,1166
6053,31/12/2008,65439,2763,47326,2750,14110,1717,3627,924,10483,1562,1206,590,32010,2557,18113,1786
6055,31/12/2008,30047,1952,20740,1954,8255,1022,2198,620,6057,951,173,181,12312,1630,9307,1180
6057,31/12/2008,29176,1783,18889,1542,6588,1081,1167,472,5421,979,118,158,12183,1381,10287,1236
6059,31/12/2008,592946,6891,462290,7294,155228,5653,33861,2740,121367,4792,6668,1284,300394,6139,130656,5043
6061,31/12/2008,93935,2467,70780,2858,29902,2515,9398,1425,20504,1954,570,297,40308,3094,23155,1841
6065,31/12/2008,438193,7265,335984,7413,104440,4510,41516,3140,62924,3214,5204,1180,226340,7236,102209,3668
6067,31/12/2008,297912,5728,235253,5136,84344,4032,27944,2599,56400,3485,4079,1166,146830,4563,62659,3101
6071,31/12/2008,365279,6911,288220,6704,85097,4711,32929,2544,52168,3902,6457,1191,196666,5906,77059,3596
6073,31/12/2008,585307,7571,451087,7543,160482,4926,45975,3204,114507,3883,8552,1669,282053,7765,134220,5093
6075,31/12/2008,127625,4686,95909,4044,30337,2347,6559,1150,23778,2185,2420,1085,63152,3683,31716,2598
6077,31/12/2008,121162,4667,93087,3485,31539,2493,11533,1736,20006,1970,1915,791,59633,2922,28075,3866
6079,31/12/2008,63686,2700,44833,2605,14556,1727,2834,787,11722,1594,427,388,29850,2312,18853,1668
6081,31/12/2008,154221,4114,114888,3808,40097,2893,8361,1233,31736,2732,1327,566,73464,3806,39333,2557
6083,31/12/2008,75128,2751,53505,2648,16588,1990,4090,995,12498,1577,629,352,36288,2862,21623,1857
6085,31/12/2008,355181,6145,274843,6206,91212,4771,21077,2854,70135,3760,4441,1232,179190,5413,80338,4087
6087,31/12/2008,55999,1812,41907,2115,15333,1554,2767,831,12566,1320,154,167,26420,2104,14092,1391
6089,31/12/2008,45629,2248,29867,1937,9807,1474,3551,1051,6256,1239,356,323,19704,1884,15762,1274
6095,31/12/2008,86980,2938,69311,2685,25108,2004,7434,1207,17674,1696,1273,507,42930,2677,17669,1519
6097,31/12/2008,115000,2667,85015,2918,30209,2278,7438,1306,22771,2085,1234,456,53572,2935,29985,1958
6099,31/12/2008,100049,3247,75225,3015,20418,2117,8283,1418,12135,1572,2512,873,52295,2811,24824,1985
6101,31/12/2008,18696,1304,14094,1236,4582,938,2082,739,2500,662,95,117,9417,1076,4602,735
6107,31/12/2008,73086,2860,53336,3079,14348,1940,5823,1160,8525,1297,346,227,38642,3018,19750,1567
6111,31/12/2008,170236,4023,134492,4012,47894,3243,14319,2080,33575,2399,4456,1118,82142,4254,35744,1965
6113,31/12/2008,36711,2253,27506,2021,9345,1328,2363,641,6982,1099,260,214,17901,1615,9205,1319
6115,31/12/2008,14673,1368,11137,1459,3067,743,1417,643,1650,500,203,248,7867,1355,3536,758
6001,31/12/2009,280221,4710,218017,4452,65993,3498,16685,2275,49308,2877,3353,890,148671,4380,62204,2812
6007,31/12/2009,51838,2164,33434,2418,9843,1460,2961,839,6882,1280,229,200,23362,2283,18404,1926
6013,31/12/2009,247333,4879,192553,4331,65095,4036,15527,2429,49568,3359,2799,867,124659,3970,54780,2619
6017,31/12/2009,51393,2223,38395,2457,13010,1915,4540,1446,8470,1299,1113,629,24272,2403,12998,1515
6019,31/12/2009,152504,3738,113831,3713,24589,2081,7350,1176,17239,1804,2085,751,87157,3452,38673,2831
6023,31/12/2009,29092,1375,17437,1246,5173,878,839,320,4334,826,279,268,11985,1187,11655,1168
6025,31/12/2009,28596,1824,19459,1714,4070,888,2125,727,1945,661,421,318,14968,1641,9137,1065
6029,31/12/2009,145330,4194,108854,3815,24911,2185,11149,1612,13762,1492,1387,463,82556,3747,36476,2327
6031,31/12/2009,19582,1515,14752,1799,2815,652,1354,480,1461,478,140,143,11797,1786,4830,813
6033,31/12/2009,17747,1681,11323,1714,3371,1034,1442,670,1929,872,366,391,7586,1345,6424,1259
6037,31/12/2009,1514362,13749,1175417,13096,334575,8064,99699,5311,234876,6640,23672,2635,817170,11713,338945,7612
6039,31/12/2009,27746,1856,19812,1656,5072,1203,1044,565,4028,1158,83,142,14657,1940,7934,1122
6041,31/12/2009,63046,2716,45528,2528,18538,1938,2617,702,15921,1862,377,269,26613,2200,17518,1844
6045,31/12/2009,21021,1480,12144,1284,2279,631,569,311,1710,527,300,225,9565,1269,8877,1098
6047,31/12/2009,39947,2316,28925,2019,6280,1080,2172,753,4108,779,179,176,22466,1920,11022,1284
6053,31/12/2009,64565,2566,47723,2672,11988,1500,3060,862,8928,1238,1091,646,34644,2499,16842,1708
6055,31/12/2009,31298,1867,21686,1875,6538,1197,1776,701,4762,1015,466,309,14682,1670,9612,1248
6057,31/12/2009,30320,1892,20909,1897,6330,1199,1201,646,5129,925,204,204,14375,1709,9411,1243
