GeoID,Date,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Median household income for units with a mortgage,Margin of Error; Total: - Median household income for units with a mortgage,Estimate; Total: - Median household for units without a mortgage,Margin of Error; Total: - Median household for units without a mortgage
6115,31/12/2010,58802,4640,67710,10691,34638,7325
6001,31/12/2011,98825,2596,108605,3423,59313,4422
6007,31/12/2011,53433,4603,63887,3378,32976,5480
6013,31/12/2011,97006,4292,110327,4682,53375,4256
6017,31/12/2011,76186,4443,89984,7342,42694,6113
6019,31/12/2011,62550,2278,69459,3517,40948,2243
6023,31/12/2011,53601,3879,67371,4425,37659,8562
6025,31/12/2011,58676,4007,68750,7978,38883,7618
6029,31/12/2011,60362,2391,68355,3208,38276,3891
6031,31/12/2011,67224,9052,75253,5679,43400,7862
6033,31/12/2011,46141,3990,49955,5438,31718,3324
6037,31/12/2011,79244,988,88075,1116,51100,1281
6039,31/12/2011,53529,3375,60069,4216,42883,7439
6041,31/12/2011,109688,10122,124121,8824,69250,13841
6045,31/12/2011,50562,4942,61481,7727,38270,5240
6047,31/12/2011,56697,3270,62612,6300,40815,7358
6053,31/12/2011,78701,6134,86444,7860,61705,10178
6055,31/12/2011,85518,5537,95802,7211,47967,5322
6057,31/12/2011,62063,7838,76568,7971,41980,4661
6059,31/12/2011,95655,1642,106057,1983,58682,2880
6061,31/12/2011,82586,4315,94758,4274,50696,5898
6065,31/12/2011,65474,1376,75280,1803,39302,2292
6067,31/12/2011,69865,2582,77316,3100,44661,3984
6071,31/12/2011,64792,1987,72587,2711,38479,3281
6073,31/12/2011,81433,1369,91664,1978,50658,2134
6075,31/12/2011,101399,3513,123656,5027,59386,5880
6077,31/12/2011,64590,3414,73320,4888,41388,3819
6079,31/12/2011,74162,4055,85692,6090,52582,7281
6081,31/12/2011,111586,3683,130419,5092,59676,5075
6083,31/12/2011,83121,4146,97372,5119,56859,5801
6085,31/12/2011,111708,1885,128085,4116,67360,3201
6087,31/12/2011,86625,7817,100951,4714,44098,6035
6089,31/12/2011,54150,3485,63521,6903,34740,4572
6095,31/12/2011,80019,4297,87215,4968,51933,7154
6097,31/12/2011,79229,3845,94906,5487,41667,2543
6099,31/12/2011,60480,3012,67998,3172,37462,4513
6101,31/12/2011,63309,7681,71968,6205,40215,7535
6107,31/12/2011,55611,3263,62129,2999,37609,3684
6111,31/12/2011,94208,2416,103167,2003,49627,4499
6113,31/12/2011,83078,6617,96966,11776,45437,7617
6115,31/12/2011,51317,6800,58869,11361,32933,12858
6001,31/12/2012,103427,2569,117349,3295,60600,2907
6007,31/12/2012,55478,4978,63947,4334,38296,3582
6013,31/12/2012,96837,3271,109055,3696,55805,4361
6017,31/12/2012,83140,7014,97171,6560,50920,12591
6019,31/12/2012,61676,1519,69091,2937,42324,4456
6023,31/12/2012,55346,3777,61321,5317,39875,4480
6025,31/12/2012,51346,5397,61787,9311,33153,5969
6029,31/12/2012,61614,2156,70456,3096,39127,3296
6031,31/12/2012,62054,4922,71797,5976,41818,7914
6033,31/12/2012,42037,4771,47574,9697,38193,14949
6037,31/12/2012,80391,751,89828,1196,51746,1252
6039,31/12/2012,52917,4305,59967,4153,42070,8676
6041,31/12/2012,117260,5564,141069,10267,70753,8094
6045,31/12/2012,59481,3087,65174,10475,52599,7170
6047,31/12/2012,60917,3954,68550,4983,40772,7168
6053,31/12/2012,76358,2236,82721,4521,56367,7615
6055,31/12/2012,83792,8571,100515,5800,49515,5620
6057,31/12/2012,66385,6573,81239,14465,52658,11584
6059,31/12/2012,95865,1558,107934,2142,59527,2424
6061,31/12/2012,83784,4708,98368,4013,47152,4777
6065,31/12/2012,64950,1474,76049,1808,37506,1750
6067,31/12/2012,73550,2137,80695,1855,50092,3303
6071,31/12/2012,65527,1820,74234,2543,40148,1920
6073,31/12/2012,81732,1151,93179,2235,50380,1495
6075,31/12/2012,109216,5054,130270,6526,64976,7861
6077,31/12/2012,69685,2737,78918,3080,43186,3156
6079,31/12/2012,79636,5488,91235,3904,52959,7298
6081,31/12/2012,108411,4598,123155,4397,65822,5737
6083,31/12/2012,83782,5983,97276,6157,54909,7276
6085,31/12/2012,116541,2176,130768,2199,67746,3265
6087,31/12/2012,89267,5921,102959,5605,56725,4776
6089,31/12/2012,55556,4604,67967,5045,36996,3290
6095,31/12/2012,81098,1959,90518,4667,57600,6445
6097,31/12/2012,77357,2044,88404,3942,51248,3718
6099,31/12/2012,63128,2561,69911,3175,44021,3062
6101,31/12/2012,63163,5429,73157,5873,43690,9495
6107,31/12/2012,53715,2918,58936,3059,37626,3395
6111,31/12/2012,91663,2134,101516,2047,54776,3772
6113,31/12/2012,87061,5467,97841,4160,51875,10952
6115,31/12/2012,60696,8234,68254,9823,34375,6992
6001,31/12/2013,105265,3079,119960,3006,69760,4135
6007,31/12/2013,56997,4518,68490,2167,40861,4293
6013,31/12/2013,101324,2180,114915,3387,61133,4145
6017,31/12/2013,74991,5904,97036,8532,44918,7946
6019,31/12/2013,63582,2702,70720,1799,46680,3649
6023,31/12/2013,52643,3767,64219,4342,38041,6424
6025,31/12/2013,62401,3369,71867,5701,39721,5436
6029,31/12/2013,67079,2550,76514,1830,42527,5012
6031,31/12/2013,66156,7977,73028,9892,47303,9669
6033,31/12/2013,52448,8459,61114,8606,36368,17074
6037,31/12/2013,81897,999,91460,1001,54760,1703
6039,31/12/2013,54223,8396,60289,5823,37329,9005
6041,31/12/2013,125022,10544,144338,9977,70323,12943
6045,31/12/2013,55884,6248,67612,6674,36183,7950
6047,31/12/2013,55619,3421,63767,4559,39621,5328
6053,31/12/2013,78851,2714,89340,5565,54858,5065
6055,31/12/2013,87715,7537,99611,7541,57806,6942
6057,31/12/2013,65669,5596,79073,6801,45450,8358
6059,31/12/2013,98756,2169,111135,1952,60990,2014
6061,31/12/2013,88835,3656,101534,3076,57169,6338
6065,31/12/2013,68406,1415,77193,1968,43758,2501
6067,31/12/2013,71779,1657,80196,2165,49942,2550
6071,31/12/2013,66721,1331,75771,1643,43734,1925
6073,31/12/2013,85340,1664,97593,2138,52459,2555
6075,31/12/2013,114121,5138,141760,8798,64298,6927
6077,31/12/2013,69198,4018,78711,3052,45784,3098
6079,31/12/2013,79961,4529,90757,5807,52141,6845
6081,31/12/2013,117836,5525,133555,5294,74644,7523
6083,31/12/2013,84093,4845,103156,8955,51799,4213
6085,31/12/2013,120599,1549,138110,2868,72210,3141
6087,31/12/2013,93189,4914,106242,7763,53510,11517
6089,31/12/2013,50940,4745,65130,6262,35456,4720
6095,31/12/2013,82563,3152,93681,5729,50165,5174
6097,31/12/2013,81802,2278,95667,5082,50837,3037
6099,31/12/2013,64551,3782,72126,3414,43065,6033
6101,31/12/2013,65070,9659,75431,10389,49588,12563
6107,31/12/2013,54053,2795,61028,5006,39446,4709
6111,31/12/2013,97487,3300,107199,3299,61967,6440
6113,31/12/2013,81066,7441,98979,8282,57184,8048
6115,31/12/2013,58339,3359,62567,9405,39053,11290
