GeoID,Date,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $49,999","Margin of Error; $40,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $69,999","Margin of Error; $60,000 to $69,999","Estimate; $70,000 to $79,999","Margin of Error; $70,000 to $79,999","Estimate; $80,000 to $89,999","Margin of Error; $80,000 to $89,999","Estimate; $90,000 to $99,999","Margin of Error; $90,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $174,999","Margin of Error; $150,000 to $174,999","Estimate; $175,000 to $199,999","Margin of Error; $175,000 to $199,999","Estimate; $200,000 to $249,999","Margin of Error; $200,000 to $249,999","Estimate; $250,000 to $299,999","Margin of Error; $250,000 to $299,999","Estimate; $300,000 to $399,999","Margin of Error; $300,000 to $399,999","Estimate; $400,000 to $499,999","Margin of Error; $400,000 to $499,999","Estimate; $500,000 to $749,999","Margin of Error; $500,000 to $749,999","Estimate; $750,000 to $999,999","Margin of Error; $750,000 to $999,999","Estimate; $1,000,000 or more","Margin of Error; $1,000,000 or more"
6073,31/12/2006,599242,8305,2080,690,1665,700,868,416,1004,395,1072,435,1494,656,1765,674,2818,633,2734,749,3115,829,3362,966,2795,683,2288,634,4880,1023,2969,641,6344,1224,2390,652,12741,1356,14678,1951,59672,3948,104522,4449,223533,6555,83425,3588,57028,3408
6075,31/12/2006,126712,4349,142,144,0,289,0,289,61,101,52,87,0,289,162,124,176,150,290,333,661,296,553,321,587,424,754,426,605,271,129,159,548,316,252,196,1527,421,1160,471,2050,628,3796,911,40963,2572,39178,2938,33066,2807
6077,31/12/2006,132481,3772,564,392,506,338,308,199,787,423,523,389,390,326,753,461,589,324,565,279,432,253,507,319,496,262,872,409,1174,475,1106,533,1095,353,2219,620,8076,1248,7387,1188,28897,2525,33321,2369,31418,2331,7234,1216,3262,717
6079,31/12/2006,60654,2209,492,258,0,289,89,107,0,289,56,91,0,289,46,78,532,320,0,289,264,228,235,242,235,200,75,124,545,325,592,450,756,493,407,291,1738,523,1103,442,6190,918,10634,1480,19573,1621,10142,1390,6950,1018
6081,31/12/2006,159025,3815,516,250,0,289,67,112,47,78,240,197,108,131,0,289,363,357,489,331,546,252,708,331,687,312,870,369,1166,564,688,353,499,280,371,353,1067,574,1817,792,4880,987,4589,946,47087,2843,49068,2882,43152,2108
6083,31/12/2006,75011,2009,236,177,260,364,150,175,186,152,229,268,123,131,111,93,264,198,0,289,392,313,150,142,290,211,201,170,692,358,581,265,1213,529,820,366,2289,612,987,547,4729,1116,13213,1450,13987,1697,14102,1617,19806,1599
6085,31/12/2006,354810,6056,847,384,493,236,95,109,565,344,1081,508,885,638,298,245,1408,587,2308,739,2513,641,2369,566,2167,724,1887,623,2322,690,1479,490,2077,855,1603,476,2991,808,1119,443,8352,1341,19508,2139,124514,4756,97868,4350,76061,3196
6087,31/12/2006,55666,2221,168,142,57,93,0,289,0,289,0,289,0,289,50,81,0,289,148,139,140,133,241,191,301,227,141,165,845,472,551,325,467,259,564,327,1321,542,1084,512,1652,507,4484,959,17987,1673,15857,1590,9608,1193
6089,31/12/2006,44889,2165,449,314,159,135,213,174,444,329,59,98,242,275,0,289,306,219,469,282,655,339,255,180,340,242,626,292,680,311,1351,481,2120,692,1886,556,7648,1257,5604,1475,10023,1176,5471,995,4213,799,1135,515,541,269
6095,31/12/2006,90468,3012,260,178,48,83,63,108,106,132,117,142,178,179,166,183,655,286,172,151,288,183,214,211,474,252,384,219,768,374,653,334,484,282,279,216,2161,640,1999,645,12839,1582,25574,1911,32514,2175,7796,1260,2276,678
